Verse Number,Verse,Translation,Commentary
12,na tvevaham jatu nasam na tvam neme janadhipah na chaiva na bhavishyamah sarve vayamatahparam - 12-,"The Supreme Lord, Myself, these persons of royalty And you, it was never that we did not exist That we will not be in the future For that to happen is impossible The Blissful Consciousness Paramatman is eternal Neither is He born and nor does He ever die Only because of this strife this appearance and disappearance It is not possible to grieve over this -  12-","Commentary: Before commenting on this sloka, it is necessary to clarify what the substance of these matters are. Tattva, meaning karan (cause) -   sattva (neutral), raja (positive) and tama (negative) -   these three gunas working together are called Trigunamayi Prakrriti.  The gunas themselves are the cause of creation.  As in - sattvarajastamasam samyavastha prakritih prakritermahan mahato ityadi -   K. Su. - 1:61 It is written in the Patanjal philosophical treatises that the three gunas mentioned above, the five elements and the eleven sensory faculties form the scenery of purush or jivachaitanya.  The jiva enjoys objects through these and when awareness manifests about their behavior, it is also by these that liberation is attained.  Among the above-mentioned three gunas, the sattva guna is tranquil and still in an awakened state, while the tama guna is inert with stupor.  Only the rajoguna is ever-moving, meaning operative.  As in - prakashkriyasthitishilam bhutendriatmakam bhogapavargartham drishyam -   Sadhanapada - no. 18 The above-mentioned raja guna being the one with the capacity for action, is mixed with the sattva guna and tama guna giving rise to two different forms - rajasik sattva and rajasik tama.  By the Guru-instructed Kriya, in the Kutasthachaitanya the sadhakas experience the gunas of Nature as these five types.  As in - darpane samalokya tatra shvasam vinikshipet -   Svarodaya “Darpan” (drp-un)[mirror]:  that by which the forms of all things are illuminated, meaning that by which things are reflected.  With the exception of physical objects, what is ordinarily called “darpan” does not reflect mind, intellect or any such internal things.  For this reason, that darpan is only a model and does not convey the complete function of darpan.  It has been touched upon previously and it is also written in every other scripture that this body is the place of all pilgrimages, the place of all gods, and all knowledge is present in it.  One becomes aware of this through the teachings of Guru.  As in - dehasthah sarvavidyashcha dehasthah sarvadevatah dehasthani cha tirthani guruvakyena labhyate Thus, in this body itself there is a place where by the experience of Kutasthachaitanya the physical, subtle and the subtlest of subtle qualities of Nature are experienced.  The scriptural scholars have stated this as the true darpan.  Because Kutasthachaitanya is experienced here, this is also called “Kutastha.” kutasthe kalpita buddhistatrachitprativimbakam -   Panchadashi The saints knowledgeable in yogic scriptures have referred to the above-mentioned five types of states which represent the cause of Nature as the five elements.  In the clear mind of the field of Pandu - the sushumna - these five elements are experienced in their pure states.  This is why the Mahabharata has called these the five Pandavas, the doubt-ridden and blind mind Dhritarashtra, and the different types of quintelemental and sensory internal faculties and elements as the sons of Dhritarashtra.   The five elements:  earth, water, fire, air and either are referred to as places of emergence (cause) and these five are mentioned as “earth-element,” “water-element,” “fire-element,” “air-element” and “space-element.”  All of these elements are always dutifully abiding in the whole of human nature and exists in it inextricably.  Sadhakas can become aware of this through the practice of Guru-instructed Kriya.  If one is able to be aware of this, then no other instruments or mechanisms are necessary to help one know things.  Without being aware of this, astrological work cannot be carried out correctly.  There is a saying by Mahadeva about this subject:  astrology without awareness of svara - meaning the five elements along with the substance of breath - is like a house without a lord, a speaker without wisdom and a body without nerves, and it fails.  As in - svarahinohadha daivajno nathadinam yatha griham shastrahino yatha vakta shirohinancha yadvapuh Through the experience of these elements, past, future, present - all can be known exactly.  With this no other astrological treatises are necessary.  This is why the great sages of Vedic times ascertained that it was impossible to attain wisdom through books.  Cultivating the Practice of Brahman by the sadhana of Sadguru-given Kriya, they attained the all-containing Knowledge of Brahman and acquiring omniscience, they had this Infinite Universe as if in the palms of their hands.  Therefore nothing remained unknown to them.  Because of the emergence and the disappearance of the above-mentioned five elements, the arising of the many different substances with different qualities establishing themselves in the subtle body (electric body) and working in the physical body (material body) as the perceptional and experiential powers of mind along with physical matter, many types of things happen in relation to us in greater or lesser ways.  I will give a description below about how the above-mentioned elements are experienced. During the emergence of the earth element, without touching either side of the nose, breath flows exactly through the middle in 12 finger-lengths.  A honey-liquid is experienced in the throat, giving birth to an addiction to the honey-liquid.  The feeling of yellow forms rises in the mind and a desire to see yellow forms is born.  A four-sided yellow form appears in the Kutastha.  In a pure state, human nature remains in this condition for 50 pala, meaning 20 minutes. During the emergence of the water element, breath flows through the lower part of the nose in 16 finger-lengths.  An astringent-liquid is experienced in the throat giving birth to an addiction to the astringent-liquid.  The feeling of white forms arises in the mind and a desire to see white forms is born.  A white half-moon form appears in the Kutastha.  In a pure state, human nature stays in this condition for 40 pala, meaning 16 minutes. During the emergence of the fire element, breath flows through the upper part of the nose in 4 finger-lengths.  A bitter-liquid is experienced in the throat, giving birth to an addiction to the bitter-liquid.  The feeling of red forms arises in the mind and a desire to see red forms is born.  A red triangle appears in the Kutastha.  In a pure state, human nature remains in this condition for 30 pala, meaning 12 minutes. At the time of the air element, breath flows through the side of the nose in 8 finger-lengths.  A tart-liquid is experienced in the throat giving birth to an addiction to the tart-liquid.  The feeling of blue forms arises in the mind and a desire to see blue forms is born.  A blue circular form appears in the Kutastha.  In a pure state, human nature remains in this condition for 20 pala, meaning for 8 minutes. At the time of the space element, breath flows through the nose without any force/pressure.  A pungent-liquid is experienced in the throat giving birth to an addiction to the pungent-liquid.  The feeling of dark purple forms arises in the mind and a desire to see dark purple forms is born.  In the dark purple of the Kutastha, many kinds of forms appear like points.  In a pure state, human nature remains in this condition for 10 pala, or 4 minutes. One equally sees the above-mentioned elements, the divine consciousness presiding in the main nadis, and the Kutasthachaitanya all as eternal substances, meaning not created by the world and not destroyed even at the time of total dissolution. - 12-"
13,dehinohasmin yatha dehe kaumaram yauvanam jara tatha dehantarapraptidhirastatra na muhyati - 13-,"As the body in childhood, youth and old age Without attention goes, not making a sound The same, after death another body acquired By that the wise are not deluded - 13-","Commentary: Just as the embodied souls naturally and gradually change physical states of childhood, youth, old age etc. yet the consciousness remains the same, in the same way, also naturally, one body is discarded after death and another body is taken.  The Soul is not destroyed by that.  The wise ones are not deluded in any way by all of these changes. - 13-"
14,matrasparshastu kaunteya shitoshnasukhaduhkhadah agamapayinohanityastam stitikshasva bharata - 14-,"Through sensory faculties in the physical realm Comes the experience of cold, heat, pleasure and sorrow at different times Over and over they come and go never are they still Know this Dhananjaya and endure them - 14-","Commentary: Because of the senses, everyone experiences cold, heat, pleasure, sorrow etc.  All of these remain only for a while.  Therefore one should endure them. - 14-"
15,yam hi na vyathayantyete purusham purusharshabha samaduhkhasukham dhiram sohamritatvaya kalpate - 15-,The one to whom these do not bring distress Pleasure and sorrow are the same in that freedom - 15-,"Commentary: Those who are not distressed by all of these sensory experiences, those that perceive happiness and unhappiness as the same, those intelligent ones are qualified for the path of liberation. - 15-"
16,nasato vidyate bhavo nabhavo vidyate satah ubhayorapi drishtohantastrinayostatvadarshibhih - 16-,"Cold, heat and such are ever of the world Which has no Soul-dharma or Truth The Truth Itself means the presence of Soul The wise know the discernment of these two - 16-","Commentary: There is no permanence in these fleeting things and the Permanently Eternal Consciousness has no death.  The seers, being aware of the irrefutable fact of these two, learn to endure. - 16-"
17,avinashi tu tadviddhi yena sarvamidam tatam vinashamavyasyasya na kashchit kartumarhati - 17-,"The One who pervades all Universes Know Him as deathless, O Falguni This indestructible Soul, Dhananjaya No one is capable of killing It -17-",Commentary: This world-pervading Consciousness is indestructible; nothing at all can destroy it. - 17-
18,antavanta ime deha nityasyoktah sharirinah anashinohaprameyasya tasmad yudhyasva bharata - 18-,"Atman cannot be divided or destroyed But this body in which It resides, is not true This the wise ascertain Therefore fight, O son of Kunti - 18- These fleeting things are only the elemental and physical statement of the indestructible and boundless Eternal Consciousness.  Therefore, if these are destroyed, the destruction of that Consciousness is not possible.  Instead, the existence of these things happens because of Its Presence.  Therefore, one should practice Kriya without fear. - 18-",
19,ya enam vetti hantaram yashchainam manyate hatam ubhou tou na vijanitou nayam hanti na hanyate - 19-,The one who believes that Atman is being killed Or the one who thinks that Atman is killing him Neither of these know the truth of Soul Atman is neither the slayer nor the slain - 19-,"Commentary: Those who discern that the Eternal Consciousness in this body is the slayer or the slain, they are injudicious and devoid of Soul-Knowledge because He is immutable, and therefore cannot be slain by any means; and He is non-doing, therefore He slays no one. - 19-"
20,na jayate mriyate va kadachit nayam bhutva bhavita va na bhuyah ajo nityah shvashvatohayam purano na hanyate hanyamane sharire - 20-,"No birth, no death, nor will It cease after birth Devoid of erosion, extension and without corruption Atman is untouched by these six faults Never is It destroyed when the body is slain - 20-","Commentary: This Eternal Consciousness never has birth or death.  He neither manifests nor presides, nor is He non-existent and non-manifesting.  He is Eternal, without birth, immutable, from time immemorial He is ever-new, meaning forever existing as He is.  Even the destruction of this body cannot bring about His death. - 20-"
21,vedavinashinam nityam ya enamajamavyayam katham sa purushah partha kam ghatayati hanti kam - 21-,"Atman has no erosion, birth, extension or death The one who believes this Partha How can he kill anyone here Or how can he cause anyone to be killed - 21-","Commentary: The one who knows the Atman to be birthless and deathless, ever-existing and indestructible, how can he be deluded into thinking “I am killing someone,” or “I am causing someone to be killed?” - 21-"
22,vasamsi jirnani yatha vihaya navani grihnati narohaparani tatha sharirani vihaya jarna- nyanyani samghati navani dehi - 22-,Discarding old clothes and putting on the new The way that everyone does Atman discards the worn-out body And naturally takes a new body - 22-,"Commentary: Just as human beings discard worn-out clothes and put on new ones, in the same way this embodied Consciousness discards the body when it is worn out and again embodies Itself in a new one. - 22-"
23,nainam chidanti shastrani nainam dahati pavakah na chainam kledayantyapo na shoshayati marutah - 23-,Weapons cannot cut this Atman No one has the power to burn it Atman cannot be sodden by water Cannot be dried up by the strongest wind - 23-,"Commentary: Because this Consciousness has no form, no weapon can pierce it, fire cannot burn it, water cannot make it sodden and air cannot dry it up. - 23-"
24,acchedyohayamadahyohayamakledyohashoshya eva cha nityah sarvagatah sthanurachalohayam sanatah - 24-,"Atman cannot be pierced or burned Unable to be wetted and cannot be dried Because this Atman is Eternal and All-pervading Universal, immovable and unchanging - 24-","Commentary: This Consciousness is impenetrable, inflammable, cannot be made wet, cannot be dried up, cannot be eroded, always present and is inextricably existing within everything in the world. - 24-"
25,avyaktohayamachintohayamavikaryohayamuchyate tasmadevam viditvainam nanushochitumaharsi - 25-,"Not seen by the eyes, beyond the mind Not held by hand this is the truth Therefore know Atman in this way It is not proper for you to grieve - 25-","Commentary: This Consciousness cannot be experienced by the senses of perception, nor can one become aware of It through the mind.  He is not corrupted by the organs of action.  When one becomes aware of Consciousness in this way, then nothing is left about which to grieve. - 25-"
26,atha chainam nityajatam nityam va manyate mritam tathapi tvam mahavaho naivam shochitumaharsi - 26-,"If you say that Atman is takes birth and dies again and again Then Arjuna, why lament - 26-","Commentary: When you ascertain that Consciousness takes birth and dies with these faculties over and over endlessly, then renouncing these faculties should not be a cause for any kind of grief. - 26-"
27,jatasya hi dhruvomrityu dhruvam janma mritasya cha tasmadapariharyeharthe na tvam shochitumaharsi - 27-,The one who is born must die and after dying must be born Therefore do not mourn unjustifiably - 27-,"Commentary: If there is birth, then there is for certain death, and if there is death, then there is birth for certain.  This has been profoundly established with proof by all types of scriptures.  Therefore, it is not appropriate to become saddened at abandoning these faculties which follow this inevitable process. - 27-"
28,avyaktadini bhutani vyaktamadhyani bharata avyakta nidhananyeva tatra ka paridevana - 28-,In the beginning It was in unmanifest form The one who is Supreme in the scriptures Then having become manifest will be unmanifest again Why be distressed over the destruction of this body - 28-,"Commentary: This entire elemental world is born of the Nature of that unknowable, subtlest of subtle substance, and again it merges back into That.  In between, it only appears for a little while.  Therefore, what is the reason to bewail this dream-like Prakriti’s illusory workings? - 28-"
29,ashcharyavat pashyati kashchidenam ashcharyavad vadati tathaiva chanyah ashcharyavachchainamanyah shrinoti shrutvapyenam veda na chaiva kashchit - 29-,"Some receive knowledge of the substance of Atman Seeing the wonder are captivated Some speak of the wonder, some hear Even hearing most do not know It - 29-","Commentary: Some ( initiated by Sadguru) upon seeing this Eternal-Knowledge-Bliss Form become stupefied; some rapturously describe That; some listen in wonderment; and some, even after studying many types of shastras and receiving wisdom from sages and hearing about this Brahman-Consciousness again and again, still cannot understand the matter, being under the power of an opposing mind. - 29-"
30,dehi nityamavadhyohayam dehe sarvasya bharata tasmat sarvani bhutani na tvam shochitumaharsi - 30-,"In every body is Atman universal Never is He able to be killed Thus, for all Dhananjaya Grief and sorrow are not proper - 30-","Commentary: The form of this elemental world, meaning the body - destruction of this does not destroy the embodied Eternal-Consciousness.  Therefore, in order to experience this Eternal Consciousness Para Brahman, it is not right to be sorrowful over the abandonment of these insignificant, dream-like and ever-changing things. - 30-"
31,svadharmapi chavekshya na vikampitumaharsi dharmyaddhi yuddhacchreyayohanyat kshatriya na vidyate - 31-,Inappropriate to tremble in this righteous war Nothing is higher than the righteous war for a Kshatriya - 31-,"Commentary: This Kshatriya, meaning that for the embodied one there is no higher work than performing the Consciousness manifesting Kriya.  Therefore, one should not be fearful of performing the Soul-Consciousness revealing Kriya. - 31-"
32,yadricchaya chopapannam svargadvaramapavritam sukhinah kshatriyah partha labhante yuddhamidrisham - 32-,"A gift not prayed for is this war, Partha The happy Kshatriya has an open door to heaven - 32-","Commentary: The heaven-like sushumna’s door opens effortlessly to the embodied ones who have this Kriya.  They are supremely happy, meaning fortunate. - 32-"
33,atha chettvamimam dharmyam samgramam na karishyasi tatah svadharmam kirtincha hitva papam vyapsyasi - 33-,"If you do not fight this righteous battle Your duty, your reputation - these you will lose - 33-","Commentary: Having received this Kriya and neglecting it can cause the ruin of one’s Atman-dharma, meaning the [ruin of the] manifestation of Eternal Satchitananda, and [the ruin of] Krita-dharma, meaning the Consciousness revealed by Kriya, as well as many kinds of harm. - 33-"
34,akirtinchapi bhutani kathayashyanti tehavyayam sambhavitasya chakirtirmaramadatirichyate - 34-,Endlessly will people call you disgraceful It is better for the honorable to die than have dishonor - 34-,"Commentary: Being without Kriya and failure in Atman-dharma will be a tremendous disrespect to embodiment, meaning one will suffer much.  For one who is a part of the Omnipotent Brahman-Consciousness, it is better to die than fail at Atman-dharma and eternally suffer as a slave to the elemental substances. - 34-"
35,bhayadranaduparatam mamsyante tvam maharathah yeshancha tvam bahumato bhutva yasyasi laghavam - 35-,"Leaving this war in fear, the warriors will all say Having been highly esteemed, contemptible you will be - 35-","Commentary: Being fearful and not taking care of performing Kriya for the sake of Satchitananda and attaining Realization, even if one is extremely powerful one will become lowly and suffer greatly in the enslavement of vanity, lust etc. - 35-"
36,avachyavadamshchavahun vadishyanti tavahitah nindantastava samarthyam tato duhkataram nu kim - 36-,"Enemies from the other side will speak words unbefitting you They will speak dishonorably of you, tell me what else is suffering - 36-","Commentary: When there is no success in the realization of this All-Pervading, Omniscient, Omnipotent, Lord of Creation, Preservation and Destruction - Atman - then it is possible to have many vain and erroneous feelings rise in the mind, such as “Atman is insubstantial” or “It is just another quality of the phenomenal world”, like the Buddhists or agnostics. - 36-"
37,hato va prapsyasi svargam jitva va bhakshyase mahim tasmaduttishtha kaunteya yuddhaya kritanishchayah - 37-,"Dying you will have heaven, in victory the earth Therefore, get up Partha and put yourself in the fight - 37-","Commentary: Engaged in the Soul-Consciousness revealing Kriya, dying brings the heavenly pleasures of the highest samskara, and victory, meaning attaining perfection through Kriya, reduces this entire elemental world into a game of dolls.  Therefore, it is one’s duty to resolutely perform Kriya with all-out effort in the power of the fire element. - 37-"
38,sukheduhkhe same kritva labhalabhou jayajayou tato yuddhaya yujyasva naiva papamavapsyasi - 38-,"Happiness, unhappiness, gain, loss Fight knowing them to be the same; there is no sin in this - 38-","Commentary: Not giving attention to gain, loss, attainment, failure, happiness, unhappiness etc., it is appropriate only to do the Consciousness-revealing Kriya. - 38-"
39,esha tehabhihita samkhye buddhiryoge tvimam shrinu buddhya yukto yaya partha karmabandham prahasyasi - 39-,This wisdom of Soul I have said to you In case this does not lead you to Brahman Then listen to attain God about Karmayoga The karma that destroys the binding of all karma - 39-,"Commentary: The sages are of this view that in order to attain Knowledge, one should be immersed in the Consciousness-revealing Kriya, because by that one can be free from the enchainment of all karma. - 39-"
40,nehabhikramanashohasti pratyavayo na vidyate svalpamapyasya dharmasya trayate mahato bhayat - 40-,Karma without desire is never unsuccessful The breaking of body does not bring it harm Very little of desireless karma it takes To ever save one from great fear - 40-,"Commentary: The performance of Kriya is never in vain, and in that there is no possibility of harm.  Even performing Kriya a small amount can deliver one from the greatest fear. - 40-"
41,vyavasayatmika buddhirekeha kurunandan bahushakha hyanantashcha buddhayohavyavasayinam - 41-,"Of course one must be in devotion to God This wisdom is known in the desireless karma In karma wishing for result there is no wisdom, Partha Which is why many karmas are with many cravings - 41-","Commentary: Professionalism in the path of yoga, meaning resoluteness, requires only one focus, but being unprofessional about Atman-dharma, meaning the endless enslavement of endless cravings on the side of external orientation requires many types of thinking; peace is never found. - 41-"
"42, 43, 44",yamimam  pushpitam vacham pravakandyavipashcitah vedavadaratah partha nanyadastiti vadinah - 42- kamatmanah svargapara janmakarmaphalapradam kriyavisheshabahulam bhogaishvaryagatim prati - 43- bhogaishvarjyaprasaktanam tayapahritachetasam vyavasayatmika buddhi samadhou na vidhiyate - 44-,"Listening to Vedas for gain - like a poisonous vine In the end is of no good, for the moment satisfying Ignorant persons are captivated by those words Saying realization comes from studying that And they say that there is nothing else beside this Filled with desires, their craving minds Heaven, the land of gods, they deem as the highest And are reborn according to the karma they followed The karma that keeps them in greed and pleasures of senses The teachings for the attainment of such, they call the best - 42 and 43- Those whose minds are on karmakanda [rituals] and words of the Vedas Only addicted to pleasure, always, they are The Face of the Lord is All They certainly do not realize that by this - 44-","Commentary: The ignorant persons who cannot even conceive of  the existence of higher work other than the acquisition of pleasure - as taught by flowery words, through which they aim to fulfill all kinds of desires and wish to acquire heavenly enjoyments as mentioned in the Vedas; those who have succumbed to desire and perceive as the highest thing the attainment of heaven through the good karmas of birth and work, as well as perform all kinds of actions in order to get many kinds of pleasures and wealth - the minds of those addicted to enjoyments and riches are always pulled by such things; because of which, their minds cannott become resolutely steady in the absorption of Soul-Consciousness, and they are not able to attain samadhi. - 42, 43 and 44-"
45,traigunyavishaya veda nistraigunyo bhavarjuna nirdvandvo nityasatvastho niryogakshema atmavan - 45-,"For those seeking good works is the cause of pravritti Karmakanda is described in the Vedas O Partha, be free of desire In stillness endure pleasure, pain, heat, cold Acquiring what one does not have, protecting what one already has With careful mind be without such wants - 45-","Commentary: For persons willing to fulfill desires, many kinds of rituals based on the three gunas - sattva, raja and tama - are described in the Vedas.  But one should go beyond these three gunas and endure pleasure, pain and conflicts, meaning - have profound patience, and renounce the desire to acquire what one does not have and the concern to protect what one does have, and be calm, meaning - be at peace. - 45-"
46,yavanartha udapane sarvatah samplutodake tavan sarveshu vedeshu brahmanasya vijanatah - 46-,The usefulness of a little water in a well And that which is for all from a great lake In that way whatever is in the whole of the Vedas The Brahman-absorbed wise ones have all of that - 46-,"Commentary: The way that all the services of a well or a small reservoir are more than provided for by a great lake, in the same way all of the temporary fulfillments of desires described in the Vedas are always there for those resolutely and completely residing in the Bliss of Brahman. - 46-"
47,karmanyavadhikaraste ma phaleshu kadachana ma karmaphalaheturbhumate sangohastvakarmani - 47-,Only to karma is there the right Not to its results for you In desireless karma never is there fruit No need to do forbidden work - 47-,"Commentary: Everyone has the rightful authority to karma [action] only, but on the fruits of action no one has authority of control.  Therefore, it is inappropriate to be engaged in karma desiring its fruits, and should not abandon karma upon perceiving a delay in the manifestation of its fruits. - 47-"
48,yogastha kuru karmani sangam tyaktva dhananjaya siddhasiddhou samou bhutva samatvam yoga ucchyate - 48-,"Being in the Lord, O Dhananjaya Renouncing attachment do karma properly Whether the results of action are successful or not Seeing them as the same is called yoga - 48-","Commentary: Therefore, one should perform Kriya with all attention, renouncing attachment and perceiving success or failure as the same.  The wise ones call this type of knowledge yoga. - 48-"
49,durena hyvaram karma buddhiyogaddhananjaya buddhou sharanamanviccha kripanah phalahetavah - 49-,"The practice of Truth is devoid of desire The wretched is accompanied by want In knowledge doing karma, steadying the mind This wisdom is lost to the minds of those craving results - 49-","Commentary: Performing all actions - other than Kriya - with nischayatmika [sense of certainty] is very inferior.  Therefore, one should perform Kriya having taken refuge in indubitable wisdom, because all action enmeshed with the desire for results are lowly. - 49-"
"50, 51",buddhiyukto jahatiha ubhe sukritaduskrite tasmad yogaya yujyasva yogah karmasu kaushalam - 50- karmajam buddhiyukta hi phalam tyaktva manishinah janmabandhavinirmuktah padam gacchantyanamayam - 51-,"Those who do karma with God intention In scriptures it is called “buddhiyoga” Those who do karma with God in mind Destroy all their good and sin in this life Therefore take care and do yoga with intensity With the technique of yoga wisdom is born in action - 50- Having knowledge, do karma without results Attain liberation, cutting the shackles of life - 51-","Commentary: When the mind is stilled by Kriya, all work of heavenly pleasures and all work of hellish suffering are destroyed.  In this way, having eradicated all fruits of karma and being devoid of all sense enjoyments, Kriyavan sages are liberated from the chains of life and attain supreme peace.  Therefore, one should perform this Kriyayoga, the highest of all actions. - 50 and 51-"
52,yadi te mohakalilam buddhirvatitarishyati tada gantasi nirvedam shrotavyasya shrutasya cha - 52-,In the body the Atman-buddhi is in the forest of delusion But when such buddhi goes beyond that At that time whatever you have heard or will hear In the two there will be great detachment born - 52-,"Commentary: When the buddhi transcends delusion and its danger, a non-attachment manifests about what is heard and what will be heard. - 52-"
53,shrutivipratipanna te yada sthasyati nishchala samadhavachala buddhistada yogamavapsyasi - 53-,Secular and religious talk is of many kinds Which your confused mind hears When that buddhi is stilled in God Knowledge of All you will receive - 53-,"Commentary: The mind is confused by all kinds of secular and religious matters.  When the mind detaches itself from those things and becomes absorbed and tranquil, it becomes united with Consciousness. - 53-"
54,Arjuna said: sthitaprajnasya ka bhasha samadhisthasya keshava sthitadhih kim prabhasheta kimasita brajet kim - 54-,"Arjuna said Lord, please tell me Whom shall I call steadfast in mind, absorbed in Brahman How do they speak these wise ones How do they sit and how do they walk - 54-","Commentary: Experiencing all of these things, questions arise in the energy of the fire element:  who are the sthitaprajna*; how do they hold themselves and even, how do they move? - 54- [*Translator’s note:  “Prajna” is the conglomeration of mind, consciousness, intellect, discrimination and wisdom.  “Sthitaprajna” is the merged and still “prajna.”  Because there is no adequate parallel in English, this definition is necessary.]"
