Verse Number,Verse,Translation,Commentary
12,ishtan bhogan hi vo deva dasyante yajnabhavitah tairdattanapradayaibho yo bhungkte stena eva sah - 12-,"Having been worshipped, like rain the gods will Give you the desired objects Offer that divine thing  Without doing so and enjoying is the same as being a thief - 12-","Commentary: When the body of providence is felicitated by yajna, and by which, when all desired objects are acquired by the manifestation of miraculous Divinity, if one does not use them for further advancement of the body of providence and thereby for the reduction of prarabdha [resultant manifestations due to the past], and only use them for even more enjoyment of the senses, one actually destroys oneself. - 12-"
13,yajnashishtashinah santo muchyante sarvakilvishaih bhunjate te tvagham papa ye pachantyatmakaranat - 13-,Those who eat of the divine yajna From the sins of the five gunas are they freed The sinners who for themselves eat  Those persons eat only sin - 13-,"Commentary: Attaining the nectarous Tranquility after Kriya, sadhakas are liberated from all pains of worldly life.  But those who do Kriya for the sake of sense enjoyments - those soul-destroyers suffer greatly in the end. - 13-"
14,annadbhavanti bhutani parjanyadannasambhavah yajnadbhavati parjanyo yajnah karmasamudbhavah - 14-,"From food are all jivas born That food is born of the clouds, Dhananjaya The clouds are born of the presence of yajna That yajna exists because of the Kriya by the performer of yajna - 14-","Commentary: Food, meaning the ever-sustaining nectarous thing that is the object of all desires - from that all of the elements in the body are nourished and content.  This nectar emerges from the Sahasrara, the spirituall cloud.  And that thousand-petaled lotus is revealed in full bloom by yajna.  This yajna happens by the Guru-given Kriya. - 14-"
15,karma brahmodbhavam viddhi brahmaksharasamudbhavam tasmat sarvagatam brahma nityam yajne pratishthitam - 15-,"This work is spoken of in the Vedas The cause of the Vedas is the Eternal Incorruptible Brahman Thus, always is the Para Brahman everywhere By yajna this is attained, the Lord of the yajna - 15-","Commentary: This Guru-given yogakriya has come from the Kutasthachaitanya, and this Kutasthachaitanya is from that Infinite Consciousness Para Brahman.  Thus, by yajna, meaning yogakriya, sadhakas attain the Eternal Consciousness, Paramatman-ness. - 15-"
16,evam pravartitam chakram nanuvartayatiha yah aghayurindriyaramo mogham partha sa jivati - 16-,This wheel of karma is of the law of God The one who abstains from its work And enjoys for himself only He lives in vain in this sinful world - 16-,"Commentary: Those on this plane who do not follow this kind of yogakriya, living meaninglessly addicted to the senses, they suffer throughout life. - 16-"
"17, 18",yastvatmaratireva syadatmatriptashcha manavah atmanyeva cha santushtastasya karyam na vidyate - 17- naiva tasya kritenartho nakriteneha kashchan na chasya sarvabhuteshu kashchidarthavyapashrayah - 18-,"The one whose pleasure is only in Atman In the experience of Atman whose heart is in bliss To the one in whose mind enjoyment of cravings never occurs Over that one karma has no right - 17- He is not sanctified by doing holy work If he does not work, no sin he incurs In the three worlds there is not for that Atman-residing one Any dependence on anything - 18-","Commentary: Those who have renounced the thirst for all things and upon attaining the Bliss of Atman-experience have become satisfied; those whose passion and pleasure is in Atman alone, and who are content in Atman Itself - they do not need to perform any action.  Because what can these Atman-realized beings who have the Bliss of Brahman gain byy performing any karma [action]?  It means that there is nothing to gain.  And it is written in the Patanjal philosophical treatises that “vyadhi,” meaning physical incapability, “styan,” meaning mental incapability, “pramad,” meaning intoxication, “alasya,” meaning laziness, “avirati,” meaning lust, “bhrantidarshan,” meaning delusionary knowledge, “alabdhabhumikatva,” meaning incapability of getting results, and “anavasthitachittatva,” meaning restlessness - the Bliss of Brahman is prevented by these scattering the mind.  But the revelation of the Knowledge of Atman annihilates all of these things mentioned above.  As in - tatah pratyakchetanadhigamohapantarayabhavashcha -   no. 29 vyadhistyanasamshayapramadalasyaviratibhrantidarshanalabdha bhumikatvanavasthitatvani chittavikshepastehantarayam - -  no. 30 - Samadhipada Therefore, if the Atman-realized beings, because they always remain in Atman-Consciousness, do not perform the all-obstacle-free Kriya, there is no wrong.  And because they always reside in the Bliss of Brahman, they do not have to even think about taking the slightest refuge in Brahman in order to be protected from the enslaving desires of the sattva, raja and tamogunas of Prakriti. - 17 and 18-"
19,tasmadasaktah satatam karyam karma samacharah asakto hyacharan karma paramapnoti purushah - 19-,Therefore perform your eternal duty Without searching for the fruits of karma in your mind Performing work with results renounced Doing so the purush finds the Supreme Absolute - 19-,"Commentary: Therefore, one should renounce the anxiety for results and perform the eternal yogakriya, because by discarding all obsession and continuously doing Kriya, sadhakas become liberated from the bindings of karma and attain Kaivalyapada. - 19-"
20,karmanaiva hi samsiddhimasthita janakadayah lokasamgrahamevapi sampashyam kartumaharsi - 20-,Janaka realized Oneness by action For the salvation of people perform action - 20-,"Commentary: The sages such as Janaka attained perfection, meaning the attainment of liberation, by yogakriya, and yogakriya is also necessary to bring our outgoing faculties [pravritti], which have gone astray, into the path of Truth.  Therefore, for no reason should one abandon Kriya. - 20-"
21,yad yadacharati shreshthastattadevetarojanah sayat pramanam kurute lokastadanuvartate - 21-,The manner in which the great ones behave That do the ordinary emulate That which will be proved by the great ones That will be followed by ordinary people - 21-,"Commentary: Except rajoguna, there is no guna in Prakriti in the area of Kriyashakti.  Thus, this is the highest of all karmas.  By this, whatever work is done, the ordinary faculties take on that good character, and whatever is decided upon by this, all of the faculties follow that path. - 21-"
22,na me parthasti kartavyam trishu lokeshu kinchana nanavaptamavaptavyam varta eva cha karmani - 22-,Thus the one who is on the path of Atman Nothing he does not acquire in the three worlds For that to acquire will I endeavor So in all work I reside - 22-,"Commentary: There is nothing in these physical, subtle and causal bodies that Consciousness does not possess nor is anything unattainable for It; therefore, It does not even need to perform any type of action in order to acquire anything.  Thus, Consciousness-Shakti is present in all karma [work]. - 22-"
"23, 24",yadi hyaham na varteyam jatu karmanya tandritah mama vartmanuvartante manushyah partha sarvashah - 23- utsideyurime loka na kuryam karma chedaham samkarasya cha karta syamupahanyamimah prajah - 24-,"Because, and even though, I am beyond the senses I do not ever stop practicing karmayoga Everyone seeing me renounce work Will renounce work as well, listen O Arjuna - 23- If I do not practice eternal karma These subjects will be ruined, devoid of action Then I will be the cause of confusion All of these subjects I will dishearten - 24-","Commentary: If Consciousness would not remain even for a moment as Its beyond-the-senses awakened state, then this entire world and Brahmanda at once would become motionless and inert, and the pravritti ones would take the evil path and stupefy the prajna in ignorance, making it live in a disheartened state.  By this, many kinds of delusionary knowledge would arise. - 24-"
25,saktah karmanyavidvamso yatha kurvanti bharat karyadvidvamstathasaktashchikirshulokasamgraham - 25-,"The way with desire and results of karma Thus they perform acts, the ignorant ones For the welfare of those, will the knowledgeable ones Do all karma, son of Pandu - 25-","Commentary: In this Brahmanda, there is no one who has the capability to prevent the force of the accumulated desires, meaning the prarabdha-bound fulfillment of karma.  Without their completion, the mind can not be natural in any way.  The ignorant, liking some of those enjoyments at the time of the fulfillment of prarabdha, desire for more of the same in the future, and disliking some things in which they must also partake, desire to be freed of that, which is another desire.  In this way, again and again, by their own design, they continue to create prarabdha like a silkworm and remain enmeshed in samsara.  But the wise ones renounce these types of likes and dislikes and fulfill prarabdha karma desirelessly in order to bring the pravritti elements who have taken the wrong road on to the path of Atman, and thereby return the mind to its natural state. - 25-"
26,na buddhibhedam janayedajnanam karmasanginam yojayet sarvakarmani vidvan yuktah samachan - 26-,"The ones who are attached to working in ignorance The wise do not force wisdom upon them Instead, they do their own work with care Inspire the others in the practice of karma as such - 26-","Commentary: Therefore, one should reside in Atman-Consciousness and take up the karma at hand, and fulfill the partaking prescribed by prarabdha, without endeavoring to judge in any way the ignorant who are addicted to enjoyments. - 26-"
27,prakriteh kriyamanani gunaih karmani sarvashah ahamkaravimudhatma kartahamiti manyate - 27-,"The organs of action, the organs of perception - that are in the body All of the numerous types of work are done by them One whose wisdom is tattered by ego In vanity, thinks of himself as the lord and doer - 27-","Commentary: The material jiva is inert.  All work is executed by Prakriti’s sattva-, raja-, and tamoguna-based senses.  Entangled in ignorance, the jiva discerns the sense oriented ego-substance to be the Atman and being captivated by that, ascertains “I am the one who is doing.” - 27-"
28,tatvavittu mahavaho gunakarmavibhagayoh guna gunashu vartanta iti matva na sajjate - 28-,"But the one who knows the True Form of Atman He remains apart from the karma of the gunas Partha, he does not think himself as the doer in vanity He knows that the enjoyment of the senses are such - 28-","Commentary: But the knowledgeable, wise ones who have realized themselves as being beyond the twenty-four substances of the Prakriti-gunas, understand that the guna-born cause-oriented senses are the ones who are engaged in the guna-born action-oriented things, and thus they do not see themselves as the doers of any action. - 28-"
29,prakritergunasammudhah sajjante gunakarmasu tankritsnavido mandan kritsnavinna vichalayet - 29-,The deluded person is bound by maya’s illusion Believing Atman to be doing the sensory work of the senses That ignorant and wrong perception should never Be reason for the wise to display his wisdom - 29-,"Commentary: With the Prakriti-guna-based senses being deluded in ego, ignorant persons think themselves to be the doer of all work actually being done by the senses.  Self-realized beings should not be distressed by such short-sighted mentality.  Otherwise, there will be disrespect for work, and lacking knowledge, very destructive and corrupted possibilities will arise. - 29-"
30,mayi sarvani karmani samnyasyadhyatmachetasa nirashirnirmamo bhutva yudhyasva vigatajvarah - 30-,"Offering all work to me Knowing oneself, engaged in God Desirelessly, renounce all attachment Fight, Dhananjaya, abandoning grief - 30-","Commentary: All work is being done according to the law of the Consciousness-God present in the Universe.  We need not make any effort in this.  With a mind devoid of desire and attachment, meditating completely in God and abandoning all lamentation, one should perform one’s own Atman-Kriya. - 30-"
31,ye me matamidam nityamanutishthanti manavah sharaddhavantohanasuyanto muchyante tehpi karmabhih - 31-,Those who listen to My words reverently In sorrow-filled karma remain without grudge Take refuge always in this way They are eventually liberated from karma - 31-,"Commentary: Being devoid of thinking “this work is laborious” or “this is not right” etc. and not taking part in any kind of blame, those who perform Atman-Kriya with reverence are the ones who are liberated from the shackles of karma. - 31-"
32,ye tvetadabhyasuyanto nanutishthanti me matam sarvajnanavimudhamstan viddhi nashtana chetasah - 32-,"Those do work begrudgingly Do not take up My teaching Know him to be without discrimination, Partha Deluded by ignorance, without any knowledge - 32-","Commentary: Those who endeavor to perform Kriya yet thinking that it is too laborious, they lose all knowledge and eventually ruin their own consciousness. - 32-"
"33, 34",sadrisham cheshtate svasyah prakriterjnanavanapi prakritim yanti bhutani nigrahah kim karishyati - 33- indriyasyendriyasyarthe ragadveshou vyavasthitou tayornavashmagacchet tou hyasya paripanthinou - 34-,"The samskara that is born of ancient karma According to nature it is say the shastras Following one’s nature as it is Helplessly even the wise do karma In meaningless karma all jiva’s are bound by their nature So what will you do by restraining the senses - 33- Getting that which the senses favor As satisfaction is born, turn away from it then In the same way, when unfavorable things one gets Turn away from the hatred arising because of them Do not be enslaved by like and dislike, Dhananjaya Cultivating these cause vices to rise - 34-","Commentary: Not to even mention ordinary people, even knowledgeable persons habitually engage themselves in sense-oriented karma according to their personal nature, which is the result of previously created samskara from past actions.  Thus, it is in the nature of the senses to have affection for favorable things and repulsion for unfavorable things, which are both from previous samskara.  This like and dislike are the obstacles to liberation.  One should not be subjugated by them.  There is no need to restrain the senses; that is unnatural; because this entire world and Brahmanda is under the rule of samskaras; no one is beyond it. - 34-"
35,shreyan svadharmo vigunah paradharmat svanushthitat svadharme nidhanam shreyah paradharmo bhayavahah - 35-,Baseless work of one’s own nature is true It is superior to high work of others’ nature Dying in one’s own work is best Know that following others nature is a horror - 35-,"Commentary: Therefore, although the Consciousness-revealing Atman-Kriya is formless, it is supreme, as opposed to all work that has beautiful form and desired results.  Because action with desire is a tremendous horror; it is by this that the jiva remains bound to this mundane world and experiences this immense suffering. - 35-"
36,Arjuna said: atha kena prayuktohayam papancharati purushah anicchannapi varshneya baladiva niyojitah - 36-,Arjuna asked the Lord Engaging in what does the wise incur sin Even though he has no desire for sin Is forced into committing sin - 36-,"Commentary: Experiencing this, the question arises in the energy of the fire element that - even without desiring, it seems that the jiva is forced into committing sin.  What is the cause of this? - 36-"
37,Sri Bhagavan said: kama esha krodha esha rajogunasamudbhavah mahashano mahapapna vidhyenamiha vairinam - 37-,"Hearing this, said Govinda to Arjuna With unsatisfied desire immediately rises anger Thus anger is born of desire Which is born from rajoguna This terrible desire has no satisfaction Know it to be the enemy on the path of liberation - 37-","Commentary: In the Kutasthachaitanya, the experience arises that - it is desire itself that changes into anger.  It emerges from rajoguna, is very evil and nothing ever satisfies it.  Know this to be the enemy in this worldly life. - 37"
38,dhumenavriyate vahnirshathadarsho malena cha yatholvenavrito garbhastatha tenedamavritam - 38-,Just as smoke envelopes fire The way a mirror is covered by dust As the embryo is covered by membrane in the womb In that way is Knowledge in us covered - 38-,"Commentary: Just as fire by smoke, a mirror by dust, and the embryo-child by the amnion are all covered, in the same way, discrimination is covered in this worldly life by desire. - 38-"
39,avritam jnanametena jnanino nityavairina kamarupena kaunteya dushpurenanalena cha - 39-,"The eternal enemy of the sage is this desire unsatisfied Like fire it gives much sorrow and pain This evil desire covers Reason in people, listen son of Kunti - 39-","Commentary: The eternal enemy of the wise, the insatiable desire, keeps Knowledge covered in the great heat of its fire. - 39-"
40,indriyani manobuddhirasyadhishthanamuchyuta etairvimohayatyesha jnanamavritya dehinam - 40-,"Eyes, ears and such senses of this form Are the cause of all desires In desire, the mind and intellect are under the senses Destroying knowledge and giving birth to delusion - 40-","Commentary: The desire within the body controls the areas in which it appears - the mind, intellect and senses - and covering up Knowledge, it keeps the jiva in delusion. - 40-"
41,tasmat tvamindrinyadou niyamya bharatarshabha papnanam prajahi hyenam jnanavijnananashanam - 41-,"Therefore, before becoming captivated Control the senses as instructed The one who destroys Atman-Knowledge and knowledge of scriptures - Destroy this sinner - desire - 41-","Commentary: Therefore, at the very beginning, by controlling the senses along with mind and intellect and by doing Kriya according to the rules, one should destroy this Atman-Knowledge and Guru-given-wisdom-destroying, tremendously evil, insatiable and sinful desire. - 41-"
41,indriyani paranyahurindriyebhyah param manah manasastu parabuddhiryobuddheh paratastu sah - 41-,In the body the senses are superior From the senses the mind is greater From the mind the intellect is superior and should be cared for Beyond the intellect is the Atman as the witness - 41-,"Commentary: This physical-world-revealing senses are superior to the body; the subtler-than-the senses and subtle-world-revealing mind is greater than that; greater than the mind is the doubt-free, all-revealing intellect; and the One who is greater than this intellect - That is Atman. - 42-"
43,evam buddhehparam buddha samstabhyatmanamatmana jahi shatrum mahavaho kamarupam durasadam - 43-,"Knowing the Atman beyond the intellect By intellect keeping the mind disciplined The enemy, desire, whom you can know in sorrow For its destruction engage yourself, Dhananjaya - 43-","Commentary: In this way, realizing the Atman beyond the intellect, keeping oneself separate from all of the senses, mind, intellect etc. and abiding in Consciousness only, one should destroy this evil enemy - desire, who is difficult to capture, right at the beginning. - 43- SUMMARIZED DESCRIPTION OF CHAPTER 3: Listening to the matters of karma [action] and jnana [knowledge] in the previous chapter, this type of experience occurs in the rajoguna that - if knowledge is greater than action, then what is the need for this intense work (battle)?  In this way, seeing its intellect as being deluded, it relies upon the Kutasthachaitanya [1 - 2].  There, the awareness emerges that discipline is of two types.  The ones of jnana practice jnanayoga in a state of non-doing, and because of that Knowledge itself, sadhakas have to perform yogakriya.  Without the performance of yogakriya, not even for a moment can one reside in the state of non-doing; instead, one does karma in an unaware way, being enslaved by the usual likes and dislikes, and by only forcing the organs of action to be subjugated like the sannyasis do, one cannot achieve non-doing, because the mind, in its perpetual habit, constantly remains engaged in sense objects.  Without work, even the body cannot be maintained; therefore it is superior to do work [Kriya] than not.  It is true that by all kinds of karma one is bound to this worldly life, but only by the performing the Consciousness-revealing Kriya [work] does the jiva attain liberation.  Therefore, keeping the organs of perception controlled by the mind, one should use the organs of action with continuous desireless awareness and perform yogakriya [7 -9].  Saints have perceived through prajna that by nourishing the body of providence through Kriya as the desires of mind come up and pacifying the body of providence by fulfilling such through Kriya, the jiva tastes the Immortal Nectar and attains liberation.  But if the jiva does not do so and uses the manifestation of miraculous Divinity for further enjoyment of sense-pleasures, then there is a possibility of great detriment [10 - 13].  By the Eternally-present Form of Brahman-Consciousness - Kutasthachaitanya - performing yogakriya causes the manifestation of Ambrosia from the Sahasrar [14 -15].  Those who do not endeavor in this type of practice in this body - the lives of those sense-addicted persons are in vain, and their life-span passes in great sufferning [16].  Those who remain in the Self in satisfaction and contentment, they do not need to perform any karma, because they have no diminution or expansion; they also do not have to take refuge in anything for any reason.  Therefore, in order to attain this Supreme Substance, one should always desirelessly perform Kriya [17 -19].  Sages such as Janaka have attained Kaivalyapada by this yogakriya.  Rajoguna is supreme in Kriya; whatever is established by this is followed by the other faculties.  Therefore, if only for the purpose of keeping the faculties of pravritti - which have taken the evil road - on the path of Atman, one should perform Kriya [20 -21].  There is nothing that Consciousness does not possess in the Universe, and nothing is unattainable for It.  If Consciousness did not remain present and beyond the senses, meaning if It were even slightly in stupor, then by the arising of many kinds of delusionary knowledge, all jivas would become devoid of knowledge and become as if dead [22 - 24].  The ignorant act under the power of desire and its enjoyment.  The wise do not behave like the ignorant, and to gather the faculties of pravritti which have taken the wrong road on to the path of Atman, they perform yogakriya with a consciousness devoid of desire and its need for enjoyment [25 - 26].  The senses act on things.  The ignorant, believing the Atman to be the sense-based ego substance, think themselves to be the doers of all those karmas.  But the wise remain tranquil, knowing the Atman to be uninvolved and beyond all twenty-four matters of the senses; they do not engage themselves in any kind of judgment of the ignorant with little understanding [27 - 29].  The senses of even the knowledgeable can - because of habit and the influence of their personal samskaras - express affection towards favorable things, and hatred toward unfavorable things.  They do not have a reason to become involved with that enemy of Knowledge.  Therefore, one should remain unaffected by like and dislike, renounce all perception of blame, and surrendering all with desireless consciousness to Atman, become engaged in Atman-Kriya.  One should not turn away from this because of many different kinds of doubts.  If that happens, one becomes enveloped in ignorance and has to live in samsara in an unaware state.  Even though Atman-Kriya is without form, it is superior to actions of desire that have beautiful form, because the jiva becomes bound and has to go through this horrific suffering due to these actions of desire [30 - 35].  After this type of experience, a question arises in the fire element that - who forces the jiva into destroying itself, even though it does not want to? [36]  Then, when consciousness is focused in the Kutasthachaitanya, the experience occurs that - just as fire by smoke, a mirror by dust and the embryo-child by the amnion are covered, in the same way, the eternal enemy of Knowledge - the insatiable fire of desire, and anger, which is born of it, by delusion envelope the knowledge present in the senses, mind and intellect and lead one to self-destruction [37 - 40].  Therefore, one should control the senses and destroy this knowledge- and wisdom-destroying evil desire right at the beginning [41].  The senses are supreme in this body; greater than that is the mind and even greater is the intellect.  But one should reside in the awakened awareness of Atman - Who is the Greatest of All, and eradicate this very evasive enemy in the form of desire [42 - 43]. Thus ends the third chapter of the yogashastra upanishad Srimad Bhagavad Gita with analysis via various scriptures of this country and the West, along with spiritual commentary."
