Verse Index{hide},Pranab Gita Translation,Pranab Gita Commentary
"12,13","Arjuna said: “You are ‘Parambrahman,’ ‘Param dham,’ ‘Param pavitra’; (for this reason) sages such as ‘Bhrigu’ etc., the divine sage ‘Narada,’ ‘Asit,’ ‘Deval’ and ‘Vyasa’ – all of them speak of You as ‘Shashvata,’ ‘Divya,’ ‘Purush,’ ‘Adideva,’ ‘Aja,’ and ‘Vibhu.’ You ‘Svayam’ are also telling me this.”","(In seven slokas – [10:]12 to [10:]18 – Arjuna, upon praising the Lord in hymn, is asking about knowing His Glorious Manifestations fully.) The knowledge that takes one to the shores beyond – that is what is known as “param.” “BrahmavidyApnoti param” – meaning: the one who is a knower of Brahman – that being comes to this “param” and comes to realize what kind of state this is. “Brahman” is the Limitless Great. This is also [being called] a “state.” It is being called a “state” only because if it is not called a “state,” it is not easy to explain all of these things nor is it easy to understand this matter. The knowledge that takes one to the shores beyond, the abiding place for that knowledge is called “Param Dham” [the Supreme Abode] – meaning: the state of enjoying the Bliss of Brahman. “Pavitram” [Pure] – a state devoid of toxicity. “Paramam” is the state of abidance after the life span of Brahmaa [creator aspect] is finished (when vibration ends). This is also a state. “Purusham” – the One Who is laying still in the abode of Maya – that is the One Who is “Purush.” “Shashvatam” [Immaculate] = One Who is never destroyed. “Divyam” [Divine] – means the space-like Form of the Self. Just as you cannot hold on to space, similarly your “You-state” cannot be held. That is why You are “Divyam.”
 
“Adideva” – the place from which the first beginning happens – that is “adi.” The beginning of this creation is from You. Thus, You are “Adideva” [God of Origin].
 
“Aja” means the One Who is never born. That is also that “You.” “Vibhu” means One Who is ever-unbound and ever-present in everything and everyone – meaning: the One Who is Omnipresent. That is also You.
 
All of these states are established in You. That is why You are “Bhavan” [the Universe] – meaning: that it is You Who actually are all of these states – I get to know this in that state, the state where every word is known with its cause, form and meaning. That is what is known as the state of “rishi” [sagaciousness]. “Ṛshayah sarve” [all seeing; seeing in all].
 
“Devarshi Narada” [divine sage Narada]: “Nara” means “Vishnu”; “da” means “daan” [giving]. The one who enables one to have Vishnu – that being is the one who is called “Narada” (see Chapter 10, sloka 26 [of the Gita]).
 
“Asit” – “a” = negation; “sit” = bound. One Who is not bound – it is He Who is called “Asit” – meaning: the state of being Free is the state of “Asit.”
 
“Deval” – “deva” = “devata” [divine being], and “lam” = the seed of the earth element. The state where the inner mind plays with the gods of the earthen-world – meaning: remains engrossed in the worship of form. It is that state that is called the state of “Deval.”
 
“Vyasa” – segmented knowledge – meaning: the one who, for the benefit of the world of living beings, divided the river of knowledge in the form of the Vedas (under the names: Sama, Rik, Yaju and Atharva), and for those with a lesser ability to grasp, created the Form-worship-oriented Puranas [spiritual mythologies], thereby making it possible to be on the path of Liberation – that is the one who is “Vyasa” ([it is] a state of being).
 
And “Svayam” [“I” as “I AM”]? That is the paravastha of Kriya! After being in this state, I come down, make the “I” into “you” and I understand these experiential states of Mine that I am experiencing. And again after coming down, I am coming to know that when My state of Rishi, state of Narada, state of Asit, state of Deval, state of Vyasa and state of Svayam happened – at that time, it seems that this knowledge: that the Upper “I” Myself Am “Parambrahman” [Supreme Absolute], “Param dham,” “Pavitra,” “Param Purush,” “Shashvata,” “Divya,” “Adideva,” “Aja” and “Vibhu” – this knowledge that I have seen, experienced and understood – it seems that it is “You” who is speaking about this [because of my having come down from Upper “I”]."
14,"O Keshava [Sri Krishna]! That which You are telling me – I believe all of that to be true. Indeed, O Bhagavan [Divine One; Sri Krishna]! Even the gods do not know Your Presence (the Cause of Manifestation), and neither do the demons.","“Keshava” – “ka” = Brahmaa, the creator + “eesha” = the destroyer + “va” = void. When this power of creation and the power of destruction become the Void, when they merge and become One – meaning: the Permanent State that is devoid of creation and destruction – that is the state that is called “Keshava.” When, after experiencing this state, I came down – at that time, whatever it is that “He” said up above – He had me accept all of that. That “Keshava-state” – that cannot be known by anyone other than “karmis” [spiritual practitioners] (Kriya-devoted ones), regardless of being in the state of “gods” who enjoy the fruits of karma [actions and their fruits] or being the lust-bound, ignorant/stupid ones in the state of “demons.” And because all of those glories are established in You, You are “Bhagavan” [Divine One; the Lord]."
15,O “Purushottama!” O “Bhootabhavana!” O “Bhootesha!” O “Devadeva!” O “Jagatpate” – You Yourself know Yourself by Yourself. ,"“Bhootabhavana” = the Nourisher of “bhoota[s]” [living beings; phenomena; elements]; “Bhootesha” = the Deliverer of “bhootas”; “Devadeva” = the God of gods; “Jagatpati” [spelled with an “i” here for grammatical declension] – the Husband of Creation. “Purushottama” – The Prakritic veil is “pur” [abode]. Among these states that are there after the Prakritic veil is united [with the Self] – the state that is highest among them, above which there is no more “state” – That is “Purushottama.” How Glorious is Purush! And all of this is You! Lord! Lord! And now You are Me! That is why I am saying, I Myself am the Knower, I Myself am the Known, and I Myself am the Knowing. "
16,"Tell me how You are present with all of these manifestations throughout all of the planes. Tell me about all of Your manifestations, completely.","That state of Kaivalya [Only-ness] that is there up above – that state that pervades the Cosmos, all phenomena and souls – anything about this cannot be spoken about after coming down [from there]. Yet, the continuous intoxication of the “I”-State does not go away either. In this kind of state, there is a time that one forgets the merging of the limited into the Unlimited. And because of the power of previous impressions, it is as if spontaneously (helplessly) a “You” forms in the “I”. That is what forces the sadhak to say, “That sky-covering Glory that is You – the fact that You have dressed up everything in creation as different ‘you’s’ – and at the same time, You are present in all of it – tell me about all of that without exception. Don’t leave anything out!” This means: the sadhak prepares him/herself to compare the states of everything outside to the sadhak’s own inner states and destroy all doubts."
17,O Yogi [Sri Krishna]! In what way can I contemplate You at all times and get to know You? O Lord! In which “bhaav[s]” (things) will You appear in my contemplation?,"In what way can I contemplate You at all times and get to know Your Yogic State? It is seen in sadhana: as long as there is chitta-dharma [dharma of personal consciousness], that yogi-state never comes. The word “bhaav” [state] itself refers to that yogi-state. But O Lord! How and to which “bhaav” will I merge my contemplation? Contemplation cannot reach “bhaav” [spiritual state] at all and in any way. So then in which states will You be the matter of contemplation?"
18,"O Janardan [Sri Krishna]! Tell me again about Your Yogic Glories and Your Vast Nature, because even after hearing the nectarous words from Your mouth, I am still not satisfied.","That Self, that Pureness, that Self-Luminescence, that Sovereign-ness, that Non-doing/Formless State of Yoga – O Source of life and death! Tell me again about those Glories and Manifestations of Yours, fully and completely. Make me understand again. I am not satisfied by the little amount of that State that I have experienced."
19,"The Lord said with great emphasis, “O best of the Kurus [Arjuna]! I will now tell you [only] about the primary Manifestations of Mine, because there is no end to My Glory.”","Again, through one’s own Awareness, the previously mentioned queries are being resolved – meaning: one is spontaneously answering one’s own questions by Oneself.
 
“Kurushreshtha” [the best of the Kurus] – the word “kuru” refers to “doing.” Its purport: someone does the work, and the reaper of the fruits is another. It is the same here. Prakriti did the work; the one who fell into bondage is [lesser] “I” (jiva [individual consciousness]). Why? Because I am in “Kurukshetra” [the field of Kuru; the field of work/karma]. From the Manipur to the Muladhar is the “Kurukshetra” of the path of sadhana [spiritual practice]. (See the commentary to slokas 14-15 in Chapter 3 [of the Pranab Gita].) The sadhak for whom there is still the sporting about of lust, anger, greed and delusion/attachment in the area from the Manipur to the Muladhar – that sadhak is referred to as “kuru.” The “best/highest” one among them is the one who has nevertheless attained the right to go above the Ajna-chakra – meaning: this sadhak is not able to let go of lust, anger, greed, delusion/attachment, pride and envy; yet, at the same time, he/she is also connected to the attainments of knowing the Self: spiritual seeing, spiritual hearing, contemplation and absorption. This sadhak has this kind of state of being. That is why this sadhak is being called “kurushreshtha” [the best of the sadhaks who are still in the field of samsara].
 
That Divine Opulence of Mine – meaning: like the endless waves, foam and bubbles in water, so is the manifestation of the Self in the drama of the Cosmos – it has no end. This is because I AM Infinite. That which can be known about Me, is also Infinite, Vast. But, now, I am telling you about some of the most primary ones [Manifestations; Glories].
"
20,"O Gudakesh [Arjuna]! I AM the Self within all things/living beings. I AM the Beginning of all phenomena/living beings – meaning: the Creator, the Middle – meaning: the Sustainer, and the End – meaning: the Destroyer.","“Gudakesh” – “guDAkA” = sleep; “eesha” = deliverance; one who has conquered sleep. The sadhak who cannot be attacked by sleep, the sadhak who is ever awake – that is the one who is “Gudakesh.” “Aham” = “I”, the Self – the Lord of all phenomena and living beings – meaning: the tanmatras [sources of the senses] come from “I”-ness [ego]; space and such elements have come forth from the tanmatras. That is why the “ashay” [abode] or ruler of all phenomena/living beings is called “atma” [self]. “Ashay” means “place.” Wherever one stays, that is that one’s “ashay.” Just as the “ashay” of water is the sea, similarly the “ashay” of phenomena/living beings is “I”. It is from “I” that the phenomena/living beings arise, and again, it is in “I” that phenomena/living beings end. And then again, the middle between this beginning and end is also in “I”. Therefore, the emergence-preservation-destruction of creation is happening on “I”, from “I” and within “I”. "
21,"Among the “Adityas,” I am “Vishnu,” among all lights, the “Angshumali” Sun, and among the “Maruts,” I am “Marichi.” Among the celestial bodies, I am “Chandra” [Moon].","“Aditya” – the one by whom all lack is fulfilled – that one is “Aditya.” The reflected light of Consciousness that shines at the junction area of Mahat and Avyakta – because that [reflection] is called the first manifestation of Maya, it is named “Aditya” [the first]. Through the use of sambhavi, this Aditya can be seen in twelve parts. They are: “Bhaga,” “Angsha,” “Aryama,” “Mitra,” “Varuna,” “Savita,” “Dhata,” “Vivasvan,” “Tashta,” “Pusha,” “Indra” and “Vishnu.” Among these twelve, it is “Vishnu” Who is “savitṛmaNDalamadhyavartee nArAyaNah hiraNmayavapu” [Lord Narayana in Golden Form situated in the center of the sun-like orb]. In that Heart of that Inner Aditya [see second sentence of this commentary] – meaning: when the Star that is in exactly the middle [of the radiance] bursts – the eight-petaled lotus that is seen after that – it is above that lotus that the Golden Person is seen. The color that comes forth when melted gold is stirred – that Person’s color is just like that. That is why the name “Hiranmaya” [golden] is used. He is “hiraNyashmashru” [with golden beard] and “hiraNyakesha” [golden-haired]. His nails and everything is golden in Him. — Begin Footnote. — “atha yadevaitadAtyasya shuklaṃ bhAh saiva sAtha yanneelaṃ parah kṛShNaṃ tadamastatsAmAtha ya eSho’ntarAditye hiraNmayah puruSho dṛshyate hiraNyashmashrurhiraNyakesha ApraNasvAtsarva eva suvarNah.” Chhandogya Upanishad; 1st Chapter. 1.6.6. — End footnote. — It is He Who is Vishnu. That Vishnu is verily, “I” – meaning: the first mutation of Ancient Mahamaya.

The one that is “Angshumali Ravi” [radiant sun] (“raṃ” – revelation/light; “i” – power; “vaṃ” – space/void; the power that brings light in the void) in the zodiac – “I” am that as well. “Marut” [air/wind] (“m” – dying + “ut” [pulled out]) – meaning: pulling this one out causes death. Among the “Maruts,” “I” am “Marichi” – meaning: prana [life-force].
 
“Nakshatra” [ordinary definition: star; celestial body] – meaning: that which has no destruction [when the word “nakshatra” is broken down etymologically, the meaning is that which cannot be destroyed] – meaning: “amrita” [nectar of immortality; ambrosia]. This nectar is in “Shashi” [Moon]. That is why “I” am the Moon."
22,"Among all of the vedas I am the Sama Veda. Among the gods I am “Vasav” [also known as “Indra”]. I am the mind among the sense-organs, and I am consciousness within living beings and phenomena.","Veda = jnana [knowledge]; whatever there is to be known – that is “Veda.” Among the vedas, the Sama Veda is the joining point – the coming together of Maya and Brahman. Its [Sama Veda’s] place is the Ajna-chakra (see commentary to Chapter 2, sloka 5 [of the Pranab Gita]). There is complete revelation here. That is why, among the vedas, “I” am Sama Veda.
 
VAsav[a] [head of the demi-gods; Indra] – “vAs” + “av[a]” – meaning: the one who resides in heaven – he is Vasav. “Svarga” [heaven; levels] means “level[s].” There are two levels in creation. One is of bondage, and the other is of Freedom. Between these two, there is an aisle called “chitta” [higher mind; personal consciousness]. In the level below chitta, due to the dominance of the three gunas, there is the bound “jiva-ness” [personal entity-ness]. From below, however much one progresses [upwards] towards the veil of chitta, that much freedom from “jiva-ness” does that person experience. And again, there are two more levels above chitta. There is a level between chitta and Vivasvan [see commentary to Chapter 4:1-2 of the Pranab Gita], and there is another level above Vivasvan. Above the chitta is the residing place for those who are still controlled [by lower powers]. Some are controlled by chitta, some by Prakriti, some by Maya – like this. These beings can go about both above and below chitta, yet they are not bound like jivas [samsaric souls]. However, they do not have the power or right to go to the level above Vivasvan. And[, among these beings who can go above and below chitta,] those who are below – even those who are residents of the levels of ego, intellect, mind, senses, worldly experiences etc. are also called “swarga- [heaven-] dwellers.” It is seen like this: the worldly person in the worldly experience, the “muni” [mental sage] in the mind, the Buddhist in buddhi [intellect], the “ahamkari” [I-worshipper] (follower of “so’hang/so’ham” [I am That]) etc. Among them, one who is residing in chitta but has attained the power to go above chitta and has established him/herself somewhat higher – it is that being that is called “Indra” or “Vasav.” The state above Ajna is the karma-less state of enjoying the fruits, or the state of the gods. Whatever kinds of “states of the gods” that the “I” has – among them, that “Vasav-state” is primary. The full manifestation of “I” in the “states of the gods” is in “Vasav.” That is why it has been said, “I am ‘Vasav.’”
 
IndriyANAṃ manashchAsmi – among the sense-organs, I am “mind.” There are eleven sense-organs. Five are the organs of perception. These take the outer experiences of sound, touch, sight, taste and scent and bring it to “I”. Five are organs of action. The organs of action make the “I” – which is made restless by the worldly experiences of sight, taste and such – do work outside. Besides these, there is another sense-organ. That organ is called “mind.” This mind makes the “I” experience the worldly life and makes it do work as well – meaning: activating desire, feeling, thought – all of these things within – makes one run about with actions outside. The true form of this bi-directional sense-organ is verily that which is known as “mind.” And “I” am that.
 
Mana [mind] – “ma” = “I” + “na” = “am not” – meaning: “I am not.” The “I” that is among the sense-organs – that is the “false ‘I’.” But among these, the mind that is “I am not” – that [“I am not”] is the real “I”. Now let us see which mind is the “I am not”-mind among the aggregate of the sense-organs.
 
Indriya [sense-organs] – “i” + “ndra” + “i” + “ya”; “i” = power; “ndra” = fire; “i” = power; “ya” = something that is itself. In “indriya[s]” [sense-organ[s]], “fire-power” and “power-itself” are found. The nature of “fire-power” is this: whatever falls into fire, fire transforms that into its own form and quality. Whatever fire touches – fire first illuminates that thing, then it makes it heated, and in the end what remains is only a sign/remnant – blackness and ashes. Similarly, whichever worldly experience comes and falls into the fire-power of the sense-organs – first that experience is illuminated within [experienced]; then a pressure or movement is felt; and later only a samksara [impression] of that worldly experience remains. Here we have seen one part of “indriya,” the work of  “fire-power” or “indra.” Now let us see the work of the other part – “iya” or “power-itself.”
 
In all of the workings of each of the sense-organs, the experience “I am doing; I am seeing” – this kind of thing that is happening – the “I” that is in this – that is the “false ‘I’.” This “I” is endowed with beginningless samskaras. It is this “I” that experiences pleasure and pain, health and illness, old age and death. It is this “I” that, having fallen into seeing and hearing and such, that is ever growing and ever being nurtured, and being a happy or sad one. But the “power-itself” that accompanies “fire-power” – meaning: the “i” + “ya” that is enjoined there [in the sense organs] – that has no change. That [“power-itself”] does not hold anything or anyone, nor does it cast off anyone or anything. This “power-itself” ever presides in state of Stillness and Peace. This “power-itself” is not “I”, instead, because there is nothing in this “power-itself” that knows itself as “I”, this “power-itself” is called “I am not” – or “mind.”
 
The reason for calling this “power-itself” “I am not” or “mind” is this: “fire-power” or the “false ‘I’” goes around being restless at all times due to being with falsehood. If there was no “power-itself” or the still “I” at the root of “fire-power” – if there is no unmoving thing at the root of every movement, then on what will the waves float? Similarly, the game of the “false ‘I’” – the beginningless current of the breaking down and building up of the samskara-bundles – is taking place on top of the “power-itself” in the form of “I am not.” All pleasure and pain are in this [“false ‘I’” or “fire-power”]. However, at the root is the real “I” – the still, peaceful “power-itself.” That which people say “I”, “I”, to which they become attached, and for which they become overcome by grief – that is the “false ‘I’.” Thus, it is being said here that among the senses, it is “mind” or the “I am not” that is the real “I”. [Translators’ note: The following two sentences are difficult to understand unless one knows the Sanskrit alphabet, its specific sounds and their energetic purport. It is being translated here as is, so that the work is true to the original.] The short “i” – representing the lesser power – is being used here because [the Lord] is speaking about the Divine Manifestations in the particular. If the Manifestations were spoken about in the macrocosmic sense, the greater power would have been represented.
 
BhootAnAmasmi chetanA – I am the consciousness in living beings and phenomena. “Bhoot” – that which goes. Everything in creation that can be seen, heard, done, felt – all of that goes away. Nothing stays. All of that is “bhoot” [phenomena; past]. All of that is Prakriti. All of that is material. Within them, “I” am “chetana” [consciousness]. “Chetana” – “chet” + “a” + “na.” “Chet” means “if” – meaning: uncertain. What is uncertain? Oh but “a”. “A” means “asat” [false; bad; wrongness] – meaning: whatever is of the six attributes such as “asti jAyate” etc. [see footnote 5 in Chapter 8 of the Pranab Gita] – all of that. And “na” means “not.” Therefore, the word “chetana” means whatever is not of the uncertain, not of the six-attribute-endowed – that. In other words, the Certain Thing is “I”."
