Sanskrit{hide},Transliteration{hide}
"ज्ञानेन तु तदज्ञानं येषां नाशितमात्मन: |
तेषामादित्यवज्ज्ञानं प्रकाशयति तत्परम् || 16||","jñānena tu tad ajñānaṁ yeṣhāṁ nāśhitam ātmanaḥ
teṣhām āditya-vaj jñānaṁ prakāśhayati tat param"
"तद्बुद्धयस्तदात्मानस्तन्निष्ठास्तत्परायणा: |
गच्छन्त्यपुनरावृत्तिं ज्ञाननिर्धूतकल्मषा: || 17||","tad-buddhayas tad-ātmānas tan-niṣhṭhās tat-parāyaṇāḥ
gachchhantyapunar-āvṛittiṁ jñāna-nirdhūta-kalmaṣhāḥ"
"विद्याविनयसम्पन्ने ब्राह्मणे गवि हस्तिनि |
शुनि चैव श्वपाके च पण्डिता: समदर्शिन: || 18||","vidyā-vinaya-sampanne brāhmaṇe gavi hastini
śhuni chaiva śhva-pāke cha paṇḍitāḥ sama-darśhinaḥ"
"इहैव तैर्जित: सर्गो येषां साम्ये स्थितं मन: |
निर्दोषं हि समं ब्रह्म तस्माद् ब्रह्मणि ते स्थिता: || 19||","ihaiva tair jitaḥ sargo yeṣhāṁ sāmye sthitaṁ manaḥ
nirdoṣhaṁ hi samaṁ brahma tasmād brahmaṇi te sthitāḥ"
"न प्रहृष्येत्प्रियं प्राप्य नोद्विजेत्प्राप्य चाप्रियम् |
स्थिरबुद्धिरसम्मूढो ब्रह्मविद् ब्रह्मणि स्थित: || 20||","na prahṛiṣhyet priyaṁ prāpya nodvijet prāpya chāpriyam
sthira-buddhir asammūḍho brahma-vid brahmaṇi sthitaḥ"
"बाह्यस्पर्शेष्वसक्तात्मा विन्दत्यात्मनि यत्सुखम् |
स ब्रह्मयोगयुक्तात्मा सुखमक्षयमश्नुते || 21||","bāhya-sparśheṣhvasaktātmā vindatyātmani yat sukham
sa brahma-yoga-yuktātmā sukham akṣhayam aśhnute"
"ये हि संस्पर्शजा भोगा दु:खयोनय एव ते |
आद्यन्तवन्त: कौन्तेय न तेषु रमते बुध: || 22||","ye hi sansparśha-jā bhogā duḥkha-yonaya eva te
ādyantavantaḥ kaunteya na teṣhu ramate budhaḥ"
"शक्नोतीहैव य: सोढुं प्राक्शरीरविमोक्षणात् |
कामक्रोधोद्भवं वेगं स युक्त: स सुखी नर: || 23||","śhaknotīhaiva yaḥ soḍhuṁ prāk śharīra-vimokṣhaṇāt
kāma-krodhodbhavaṁ vegaṁ sa yuktaḥ sa sukhī naraḥ"
"योऽन्त:सुखोऽन्तरारामस्तथान्तज्र्योतिरेव य: ।
स योगी ब्रह्मनिर्वाणं ब्रह्मभूतोऽधिगच्छति ।। 24।।","yo 'ntaḥ-sukho 'ntar-ārāmas tathāntar-jyotir eva yaḥ
sa yogī brahma-nirvāṇaṁ brahma-bhūto 'dhigachchhati"
"लभन्ते ब्रह्मनिर्वाणमृषय: क्षीणकल्मषा: |
छिन्नद्वैधा यतात्मान: सर्वभूतहिते रता: || 25||","labhante brahma-nirvāṇam ṛiṣhayaḥ kṣhīṇa-kalmaṣhāḥ
chhinna-dvaidhā yatātmānaḥ sarva-bhūta-hite ratāḥ"
"कामक्रोधवियुक्तानां यतीनां यतचेतसाम् |
अभितो ब्रह्मनिर्वाणं वर्तते विदितात्मनाम् || 26||","kāma-krodha-viyuktānāṁ yatīnāṁ yata-chetasām
abhito brahma-nirvāṇaṁ vartate viditātmanām"
"स्पर्शान्कृत्वा बहिर्बाह्यांश्चक्षुश्चैवान्तरे भ्रुवो: |
प्राणापानौ समौ कृत्वा नासाभ्यन्तरचारिणौ || 27||","sparśhān kṛitvā bahir bāhyānśh chakṣhuśh chaivāntare bhruvoḥ
prāṇāpānau samau kṛitvā nāsābhyantara-chāriṇau"
"यतेन्द्रियमनोबुद्धिर्मुनिर्मोक्षपरायण: |
विगतेच्छाभयक्रोधो य: सदा मुक्त एव स: || 28||","yatendriya-mano-buddhir munir mokṣha-parāyaṇaḥ
vigatechchhā-bhaya-krodho yaḥ sadā mukta eva saḥ"
"भोक्तारं यज्ञतपसां सर्वलोकमहेश्वरम् |
सुहृदं सर्वभूतानां ज्ञात्वा मां शान्तिमृच्छति || 29||","bhoktāraṁ yajña-tapasāṁ sarva-loka-maheśhvaram
suhṛidaṁ sarva-bhūtānāṁ jñātvā māṁ śhāntim ṛichchhati"
