Sanskrit{hide},Transliteration{hide}
"निहत्य धार्तराष्ट्रान्न: का प्रीति: स्याज्जनार्दन |
पापमेवाश्रयेदस्मान्हत्वैतानाततायिन: || 36 ||","nihatya dhārtarāṣhṭrān naḥ kā prītiḥ syāj janārdana
pāpam evāśhrayed asmān hatvaitān ātatāyinaḥ"
"तस्मान्नार्हा वयं हन्तुं धार्तराष्ट्रान्स्वबान्धवान् |
स्वजनं हि कथं हत्वा सुखिन: स्याम माधव || 37||","tasmān nārhā vayaṁ hantuṁ dhārtarāṣhṭrān sa-bāndhavān
sva-janaṁ hi kathaṁ hatvā sukhinaḥ syāma mādhava"
"यद्यप्येते न पश्यन्ति लोभोपहतचेतस: |
कुलक्षयकृतं दोषं मित्रद्रोहे च पातकम् || 38||","yady apy ete na paśhyanti lobhopahata-chetasaḥ
kula-kṣhaya-kṛitaṁ doṣhaṁ mitra-drohe cha pātakam"
"कथं न ज्ञेयमस्माभि: पापादस्मान्निवर्तितुम् |
कुलक्षयकृतं दोषं प्रपश्यद्भिर्जनार्दन || 39||","kathaṁ na jñeyam asmābhiḥ pāpād asmān nivartitum
kula-kṣhaya-kṛitaṁ doṣhaṁ prapaśhyadbhir janārdana"
"कुलक्षये प्रणश्यन्ति कुलधर्मा: सनातना: |
धर्मे नष्टे कुलं कृत्स्नमधर्मोऽभिभवत्युत || 40||","kula-kṣhaye praṇaśhyanti kula-dharmāḥ sanātanāḥ
dharme naṣhṭe kulaṁ kṛitsnam adharmo ’bhibhavaty uta"
"अधर्माभिभवात्कृष्ण प्रदुष्यन्ति कुलस्त्रिय: |
स्त्रीषु दुष्टासु वार्ष्णेय जायते वर्णसङ्कर: || 41||","adharmābhibhavāt kṛiṣhṇa praduṣhyanti kula-striyaḥ
strīṣhu duṣhṭāsu vārṣhṇeya jāyate varṇa-saṅkaraḥ"
"सङ्करो नरकायैव कुलघ्नानां कुलस्य च |
पतन्ति पितरो ह्येषां लुप्तपिण्डोदकक्रिया: || 42||","saṅkaro narakāyaiva kula-ghnānāṁ kulasya cha
patanti pitaro hy eṣhāṁ lupta-piṇḍodaka-kriyāḥ"
"दोषैरेतै: कुलघ्नानां वर्णसङ्करकारकै: |
उत्साद्यन्ते जातिधर्मा: कुलधर्माश्च शाश्वता: || 43||","doṣhair etaiḥ kula-ghnānāṁ varṇa-saṅkara-kārakaiḥ
utsādyante jāti-dharmāḥ kula-dharmāśh cha śhāśhvatāḥ"
"उत्सन्नकुलधर्माणां मनुष्याणां जनार्दन |
नरकेऽनियतं वासो भवतीत्यनुशुश्रुम || 44||","utsanna-kula-dharmāṇāṁ manuṣhyāṇāṁ janārdana
narake ‘niyataṁ vāso bhavatītyanuśhuśhruma"
"अहो बत महत्पापं कर्तुं व्यवसिता वयम् |
यद्राज्यसुखलोभेन हन्तुं स्वजनमुद्यता: || 45||","aho bata mahat pāpaṁ kartuṁ vyavasitā vayam
yad rājya-sukha-lobhena hantuṁ sva-janam udyatāḥ"
"यदि मामप्रतीकारमशस्त्रं शस्त्रपाणय: |
धार्तराष्ट्रा रणे हन्युस्तन्मे क्षेमतरं भवेत् || 46||","yadi mām apratīkāram aśhastraṁ śhastra-pāṇayaḥ
dhārtarāṣhṭrā raṇe hanyus tan me kṣhemataraṁ bhavet"
"सञ्जय उवाच |
एवमुक्त्वार्जुन: सङ्ख्ये रथोपस्थ उपाविशत् |
विसृज्य सशरं चापं शोकसंविग्नमानस: || 47||","sañjaya uvācha
evam uktvārjunaḥ saṅkhye rathopastha upāviśhat
visṛijya sa-śharaṁ chāpaṁ śhoka-saṁvigna-mānasaḥ"
