Sanskrit{hide},Transliteration{hide}
"अव्यक्ताद्व्यक्तय: सर्वा: प्रभवन्त्यहरागमे |
रात्र्यागमे प्रलीयन्ते तत्रैवाव्यक्तसञ्ज्ञके || 18||","avyaktād vyaktayaḥ sarvāḥ prabhavantyahar-āgame
rātryāgame pralīyante tatraivāvyakta-sanjñake"
"भूतग्राम: स एवायं भूत्वा भूत्वा प्रलीयते |
रात्र्यागमेऽवश: पार्थ प्रभवत्यहरागमे || 19||","bhūta-grāmaḥ sa evāyaṁ bhūtvā bhūtvā pralīyate
rātryāgame ’vaśhaḥ pārtha prabhavatyahar-āgame"
"परस्तस्मात्तु भावोऽन्योऽव्यक्तोऽव्यक्तात्सनातन: |
य: स सर्वेषु भूतेषु नश्यत्सु न विनश्यति || 20||","paras tasmāt tu bhāvo ’nyo ’vyakto ’vyaktāt sanātanaḥ
yaḥ sa sarveṣhu bhūteṣhu naśhyatsu na vinaśhyati"
"अव्यक्तोऽक्षर इत्युक्तस्तमाहु: परमां गतिम् |
यं प्राप्य न निवर्तन्ते तद्धाम परमं मम || 21||","avyakto ’kṣhara ityuktas tam āhuḥ paramāṁ gatim
yaṁ prāpya na nivartante tad dhāma paramaṁ mama"
"पुरुष: स पर: पार्थ भक्त्या लभ्यस्त्वनन्यया |
यस्यान्त:स्थानि भूतानि येन सर्वमिदं ततम् || 22||","puruṣhaḥ sa paraḥ pārtha bhaktyā labhyas tvananyayā
yasyāntaḥ-sthāni bhūtāni yena sarvam idaṁ tatam"
"यत्र काले त्वनावृत्तिमावृत्तिं चैव योगिन: |
प्रयाता यान्ति तं कालं वक्ष्यामि भरतर्षभ || 23||","yatra kāle tvanāvṛittim āvṛittiṁ chaiva yoginaḥ
prayātā yānti taṁ kālaṁ vakṣhyāmi bharatarṣhabha"
"अग्निर्ज्योतिरह: शुक्ल: षण्मासा उत्तरायणम् |
तत्र प्रयाता गच्छन्ति ब्रह्म ब्रह्मविदो जना: || 24||","agnir jyotir ahaḥ śhuklaḥ ṣhaṇ-māsā uttarāyaṇam
tatra prayātā gachchhanti brahma brahma-vido janāḥ"
"धूमो रात्रिस्तथा कृष्ण: षण्मासा दक्षिणायनम् |
तत्र चान्द्रमसं ज्योतिर्योगी प्राप्य निवर्तते || 25||","dhūmo rātris tathā kṛiṣhṇaḥ ṣhaṇ-māsā dakṣhiṇāyanam
tatra chāndramasaṁ jyotir yogī prāpya nivartate"
"शुक्लकृष्णे गती ह्येते जगत: शाश्वते मते |
एकया यात्यनावृत्तिमन्ययावर्तते पुन: || 26||","śhukla-kṛiṣhṇe gatī hyete jagataḥ śhāśhvate mate
ekayā yātyanāvṛittim anyayāvartate punaḥ"
"नैते सृती पार्थ जानन्योगी मुह्यति कश्चन |
तस्मात्सर्वेषु कालेषु योगयुक्तो भवार्जुन || 27||","naite sṛitī pārtha jānan yogī muhyati kaśhchana
tasmāt sarveṣhu kāleṣhu yoga-yukto bhavārjuna"
"वेदेषु यज्ञेषु तप:सु चैव
दानेषु यत्पुण्यफलं प्रदिष्टम् |
अत्येति तत्सर्वमिदं विदित्वा
योगी परं स्थानमुपैति चाद्यम् || 28||","vedeṣhu yajñeṣhu tapaḥsu chaiva
dāneṣhu yat puṇya-phalaṁ pradiṣhṭam
atyeti tat sarvam idaṁ viditvā
yogī paraṁ sthānam upaiti chādyam"
