Sanskrit{hide},Transliteration{hide}
"इति क्षेत्रं तथा ज्ञानं ज्ञेयं चोक्तं समासत: |
मद्भक्त एतद्विज्ञाय मद्भावायोपपद्यते || 19||","iti kṣhetraṁ tathā jñānaṁ jñeyaṁ choktaṁ samāsataḥ
mad-bhakta etad vijñāya mad-bhāvāyopapadyate"
"प्रकृतिं पुरुषं चैव विद्ध्यनादी उभावपि |
विकारांश्च गुणांश्चैव विद्धि प्रकृतिसम्भवान् || 20||","prakṛitiṁ puruṣhaṁ chaiva viddhy anādī ubhāv api
vikārānśh cha guṇānśh chaiva viddhi prakṛiti-sambhavān"
"कार्यकारणकर्तृत्वे हेतु: प्रकृतिरुच्यते |
पुरुष: सुखदु:खानां भोक्तृत्वे हेतुरुच्यते || 21||","kārya-kāraṇa-kartṛitve hetuḥ prakṛitir uchyate
puruṣhaḥ sukha-duḥkhānāṁ bhoktṛitve hetur uchyate"
"पुरुष: प्रकृतिस्थो हि भुङक्ते प्रकृतिजान्गुणान् |
कारणं गुणसङ्गोऽस्य सदसद्योनिजन्मसु || 22||","puruṣhaḥ prakṛiti-stho hi bhuṅkte prakṛiti-jān guṇān
kāraṇaṁ guṇa-saṅgo ’sya sad-asad-yoni-janmasu"
"उपद्रष्टानुमन्ता च भर्ता भोक्ता महेश्वर: |
परमात्मेति चाप्युक्तो देहेऽस्मिन्पुरुष: पर: || 23||","upadraṣhṭānumantā cha bhartā bhoktā maheśhvaraḥ
paramātmeti chāpy ukto dehe ’smin puruṣhaḥ paraḥ"
"य एवं वेत्ति पुरुषं प्रकृतिं च गुणै: सह |
सर्वथा वर्तमानोऽपि न स भूयोऽभिजायते || 24||","ya evaṁ vetti puruṣhaṁ prakṛitiṁ cha guṇaiḥ saha
sarvathā vartamāno ’pi na sa bhūyo ’bhijāyate"
"ध्यानेनात्मनि पश्यन्ति केचिदात्मानमात्मना |
अन्ये साङ् ख्येन योगेन कर्मयोगेन चापरे || 25||","dhyānenātmani paśhyanti kechid ātmānam ātmanā
anye sānkhyena yogena karma-yogena chāpare"
"अन्ये त्वेवमजानन्त: श्रुत्वान्येभ्य उपासते |
तेऽपि चातितरन्त्येव मृत्युं श्रुतिपरायणा: || 26||","anye tv evam ajānantaḥ śhrutvānyebhya upāsate
te ’pi chātitaranty eva mṛityuṁ śhruti-parāyaṇāḥ"
"यावत्सञ्जायते किञ्चित्सत्वं स्थावरजङ्गमम् |
क्षेत्रक्षेत्रज्ञसंयोगात्तद्विद्धि भरतर्षभ || 27||","yāvat sañjāyate kiñchit sattvaṁ sthāvara-jaṅgamam
kṣhetra-kṣhetrajña-sanyogāt tad viddhi bharatarṣhabha"
"समं सर्वेषु भूतेषु तिष्ठन्तं परमेश्वरम् |
विनश्यत्स्वविनश्यन्तं य: पश्यति स पश्यति || 28||","samaṁ sarveṣhu bhūteṣhu tiṣhṭhantaṁ parameśhvaram
vinaśhyatsv avinaśhyantaṁ yaḥ paśhyati sa paśhyati"
"समं पश्यन्हि सर्वत्र समवस्थितमीश्वरम् |
न हिनस्त्यात्मनात्मानं ततो याति परां गतिम् || 29||","samaṁ paśhyan hi sarvatra samavasthitam īśhvaram
na hinasty ātmanātmānaṁ tato yāti parāṁ gatim"
"प्रकृत्यैव च कर्माणि क्रियमाणानि सर्वश: |
य: पश्यति तथात्मानमकर्तारं स पश्यति || 30||","prakṛityaiva cha karmāṇi kriyamāṇāni sarvaśhaḥ
yaḥ paśhyati tathātmānam akartāraṁ sa paśhyati"
"यदा भूतपृथग्भावमेकस्थमनुपश्यति |
तत एव च विस्तारं ब्रह्म सम्पद्यते तदा || 31||","yadā bhūta-pṛithag-bhāvam eka-stham anupaśhyati
tata eva cha vistāraṁ brahma sampadyate tadā"
"अनादित्वान्निर्गुणत्वात्परमात्मायमव्यय: |
शरीरस्थोऽपि कौन्तेय न करोति न लिप्यते || 32||","anāditvān nirguṇatvāt paramātmāyam avyayaḥ
śharīra-stho ’pi kaunteya na karoti na lipyate"
"यथा सर्वगतं सौक्ष्म्यादाकाशं नोपलिप्यते |
सर्वत्रावस्थितो देहे तथात्मा नोपलिप्यते || 33||","yathā sarva-gataṁ saukṣhmyād ākāśhaṁ nopalipyate
sarvatrāvasthito dehe tathātmā nopalipyate"
"यथा प्रकाशयत्येक: कृत्स्नं लोकमिमं रवि: |
क्षेत्रं क्षेत्री तथा कृत्स्नं प्रकाशयति भारत || 34||","yathā prakāśhayaty ekaḥ kṛitsnaṁ lokam imaṁ raviḥ
kṣhetraṁ kṣhetrī tathā kṛitsnaṁ prakāśhayati bhārata"
"क्षेत्रक्षेत्रज्ञयोरेवमन्तरं ज्ञानचक्षुषा |
भूतप्रकृतिमोक्षं च ये विदुर्यान्ति ते परम् || 35||","kṣhetra-kṣhetrajñayor evam antaraṁ jñāna-chakṣhuṣhā
bhūta-prakṛiti-mokṣhaṁ cha ye vidur yānti te param"
