Sanskrit{hide},Transliteration{hide}
"कर्मणो ह्यपि बोद्धव्यं बोद्धव्यं च विकर्मण: |
अकर्मणश्च बोद्धव्यं गहना कर्मणो गति: || 17||","karmaṇo hyapi boddhavyaṁ boddhavyaṁ cha vikarmaṇaḥ
akarmaṇaśh cha boddhavyaṁ gahanā karmaṇo gatiḥ"
"कर्मण्यकर्म य: पश्येदकर्मणि च कर्म य: |
स बुद्धिमान्मनुष्येषु स युक्त: कृत्स्नकर्मकृत् || 18||","karmaṇyakarma yaḥ paśhyed akarmaṇi cha karma yaḥ
sa buddhimān manuṣhyeṣhu sa yuktaḥ kṛitsna-karma-kṛit"
"यस्य सर्वे समारम्भा: कामसङ्कल्पवर्जिता: |
ज्ञानाग्निदग्धकर्माणं तमाहु: पण्डितं बुधा: || 19||","yasya sarve samārambhāḥ kāma-saṅkalpa-varjitāḥ
jñānāgni-dagdha-karmāṇaṁ tam āhuḥ paṇḍitaṁ budhāḥ"
"त्यक्त्वा कर्मफलासङ्गं नित्यतृप्तो निराश्रय: |
कर्मण्यभिप्रवृत्तोऽपि नैव किञ्चित्करोति स: || 20||","tyaktvā karma-phalāsaṅgaṁ nitya-tṛipto nirāśhrayaḥ
karmaṇyabhipravṛitto ’pi naiva kiñchit karoti saḥ"
"निराशीर्यतचित्तात्मा त्यक्तसर्वपरिग्रह: |
शारीरं केवलं कर्म कुर्वन्नाप्नोति किल्बिषम् || 21||","nirāśhīr yata-chittātmā tyakta-sarva-parigrahaḥ
śhārīraṁ kevalaṁ karma kurvan nāpnoti kilbiṣham"
"यदृच्छालाभसन्तुष्टो द्वन्द्वातीतो विमत्सर: |
सम: सिद्धावसिद्धौ च कृत्वापि न निबध्यते || 22||","yadṛichchhā-lābha-santuṣhṭo dvandvātīto vimatsaraḥ
samaḥ siddhāvasiddhau cha kṛitvāpi na nibadhyate"
"गतसङ्गस्य मुक्तस्य ज्ञानावस्थितचेतस: |
यज्ञायाचरत: कर्म समग्रं प्रविलीयते || 23||","gata-saṅgasya muktasya jñānāvasthita-chetasaḥ
yajñāyācharataḥ karma samagraṁ pravilīyate"
"ब्रह्मार्पणं ब्रह्म हविर्ब्रह्माग्नौ ब्रह्मणा हुतम् |
ब्रह्मैव तेन गन्तव्यं ब्रह्मकर्मसमाधिना || 24||","brahmārpaṇaṁ brahma havir brahmāgnau brahmaṇā hutam
brahmaiva tena gantavyaṁ brahma-karma-samādhinā"
"दैवमेवापरे यज्ञं योगिन: पर्युपासते |
ब्रह्माग्नावपरे यज्ञं यज्ञेनैवोपजुह्वति || 25||","daivam evāpare yajñaṁ yoginaḥ paryupāsate
brahmāgnāvapare yajñaṁ yajñenaivopajuhvati"
"श्रोत्रादीनीन्द्रियाण्यन्ये संयमाग्निषु जुह्वति |
शब्दादीन्विषयानन्य इन्द्रियाग्निषु जुह्वति || 26||","śhrotrādīnīndriyāṇyanye sanyamāgniṣhu juhvati
śhabdādīn viṣhayānanya indriyāgniṣhu juhvati"
"सर्वाणीन्द्रियकर्माणि प्राणकर्माणि चापरे |
आत्मसंयमयोगाग्नौ जुह्वति ज्ञानदीपिते || 27||","sarvāṇīndriya-karmāṇi prāṇa-karmāṇi chāpare
ātma-sanyama-yogāgnau juhvati jñāna-dīpite"
"द्रव्ययज्ञास्तपोयज्ञा योगयज्ञास्तथापरे |
स्वाध्यायज्ञानयज्ञाश्च यतय: संशितव्रता: || 28||","dravya-yajñās tapo-yajñā yoga-yajñās tathāpare
swādhyāya-jñāna-yajñāśh cha yatayaḥ sanśhita-vratāḥ"
"अपाने जुह्वति प्राणं प्राणेऽपानं तथापरे |
प्राणापानगती रुद्ध्वा प्राणायामपरायणा: || 29||","apāne juhvati prāṇaṁ prāṇe ’pānaṁ tathāpare
prāṇāpāna-gatī ruddhvā prāṇāyāma-parāyaṇāḥ
apare niyatāhārāḥ prāṇān prāṇeṣhu juhvati
sarve ’pyete yajña-vido yajña-kṣhapita-kalmaṣhāḥ"
"अपरे नियताहारा: प्राणान्प्राणेषु जुह्वति |
सर्वेऽप्येते यज्ञविदो यज्ञक्षपितकल्मषा: || 30||","apāne juhvati prāṇaṁ prāṇe ’pānaṁ tathāpare
prāṇāpāna-gatī ruddhvā prāṇāyāma-parāyaṇāḥ
apare niyatāhārāḥ prāṇān prāṇeṣhu juhvati
sarve ’pyete yajña-vido yajña-kṣhapita-kalmaṣhāḥ"
"यज्ञशिष्टामृतभुजो यान्ति ब्रह्म सनातनम् |
नायं लोकोऽस्त्ययज्ञस्य कुतोऽन्य: कुरुसत्तम || 31||","yajña-śhiṣhṭāmṛita-bhujo yānti brahma sanātanam
nāyaṁ loko ’styayajñasya kuto ’nyaḥ kuru-sattama"
"एवं बहुविधा यज्ञा वितता ब्रह्मणो मुखे |
कर्मजान्विद्धि तान्सर्वानेवं ज्ञात्वा विमोक्ष्यसे || 32||","evaṁ bahu-vidhā yajñā vitatā brahmaṇo mukhe
karma-jān viddhi tān sarvān evaṁ jñātvā vimokṣhyase"
"श्रेयान्द्रव्यमयाद्यज्ञाज्ज्ञानयज्ञ: परन्तप |
सर्वं कर्माखिलं पार्थ ज्ञाने परिसमाप्यते || 33||","śhreyān dravya-mayād yajñāj jñāna-yajñaḥ parantapa
sarvaṁ karmākhilaṁ pārtha jñāne parisamāpyate"
"तद्विद्धि प्रणिपातेन परिप्रश्नेन सेवया |
उपदेक्ष्यन्ति ते ज्ञानं ज्ञानिनस्तत्त्वदर्शिन: || 34||","tad viddhi praṇipātena paripraśhnena sevayā
upadekṣhyanti te jñānaṁ jñāninas tattva-darśhinaḥ"
"यज्ज्ञात्वा न पुनर्मोहमेवं यास्यसि पाण्डव |
येन भूतान्यशेषेण द्रक्ष्यस्यात्मन्यथो मयि || 35||","yaj jñātvā na punar moham evaṁ yāsyasi pāṇḍava
yena bhūtānyaśheṣheṇa drakṣhyasyātmanyatho mayi"
"अपि चेदसि पापेभ्य: सर्वेभ्य: पापकृत्तम: |
सर्वं ज्ञानप्लवेनैव वृजिनं सन्तरिष्यसि || 36||","api ched asi pāpebhyaḥ sarvebhyaḥ pāpa-kṛit-tamaḥ
sarvaṁ jñāna-plavenaiva vṛijinaṁ santariṣhyasi"
"यथैधांसि समिद्धोऽग्निर्भस्मसात्कुरुतेऽर्जुन |
ज्ञानाग्नि: सर्वकर्माणि भस्मसात्कुरुते तथा || 37||","yathaidhānsi samiddho ’gnir bhasma-sāt kurute ’rjuna
jñānāgniḥ sarva-karmāṇi bhasma-sāt kurute tathā"
"न हि ज्ञानेन सदृशं पवित्रमिह विद्यते |
तत्स्वयं योगसंसिद्ध: कालेनात्मनि विन्दति || 38||","na hi jñānena sadṛiśhaṁ pavitramiha vidyate
tatsvayaṁ yogasansiddhaḥ kālenātmani vindati"
"श्रद्धावान् लभते ज्ञानं तत्पर: संयतेन्द्रिय: |
ज्ञानं लब्ध्वा परां शान्तिमचिरेणाधिगच्छति || 39||","śhraddhāvān labhate jñānaṁ tat-paraḥ sanyatendriyaḥ
jñānaṁ labdhvā parāṁ śhāntim achireṇādhigachchhati"
"अज्ञश्चाश्रद्दधानश्च संशयात्मा विनश्यति |
नायं लोकोऽस्ति न परो न सुखं संशयात्मन: || 40||","ajñaśh chāśhraddadhānaśh cha sanśhayātmā vinaśhyati
nāyaṁ loko ’sti na paro na sukhaṁ sanśhayātmanaḥ"
"योगसंन्यस्तकर्माणं ज्ञानसञ्छिन्नसंशयम् |
आत्मवन्तं न कर्माणि निबध्नन्ति धनञ्जय || 41||","yoga-sannyasta-karmāṇaṁ jñāna-sañchhinna-sanśhayam
ātmavantaṁ na karmāṇi nibadhnanti dhanañjaya"
"तस्मादज्ञानसम्भूतं हृत्स्थं ज्ञानासिनात्मन: |
छित्त्वैनं संशयं योगमातिष्ठोत्तिष्ठ भारत || 42||","tasmād ajñāna-sambhūtaṁ hṛit-sthaṁ jñānāsinātmanaḥ
chhittvainaṁ sanśhayaṁ yogam ātiṣhṭhottiṣhṭha bhārata"
