Verse Number,Translation,Commentary
14,adhishthanam tatha karta karanam cha prithagvidham vividhashcha prithak cheshta daivam chaivatra panchamam,"[Commentary:]15) The reasons for all of these causes are five.  Because this body is here, mind fixes attention in other directions - that attention, upon hearing through speech - such and such thing is like this - it is quite well; one is well; let one remain well - but not thinking in that way, [instead thinking] “I will be the lord of that thing” - meaning, “that thing belongs to me” - after that, mind goes forward to get that thing - in order to go, shoes, clothes, shawl are taken, and the feet take to the road - go up to the shop - going there, [one asks] “Is there any ‘ledikeni’*?”  “Unfortunately, there is no ledikeni” - this is troublesome karma.  Instead of taking this, one can take some other thing - therefore, by body, speech and mind, whether it is proper karma or troublesome karma - these five are the reasons for all karma.[*Translator’s note:  “Ledikeni” is a type of sweet.]"
15,shariravangmanobhiryat karma prarabhate narah nyayam va viparitam va panchaite tasya hetavah,"[Commentary:]16) The Lord of all of these karmas is Atman - it is He Who can be seen via Kriya, can be held, in the par avastha of Kriya - whosoever does not do the Kriya of Atman - he cannot see such - so therefore, the attachment-filled mind goes in other directions away from Atman."
16,tattraivam sati kartaramatmanam kevalam tu yah pashyatyakritabuddhitvanna sa pashyati durmati,"[Commentary:]17) In the par avastha of Kriya, when, even though one is staying in the Self, one is not - staying in that incredible condition, the Still Intelligence does not get engulfed with attachment to any other thing - even if he kills all people, he does not kill - nor can he be bound because of killing - because: he was not in himself - he was in the intoxication of Brahman, like a drunkard in the intoxication of liquor."
17,yasya nahahamkrito bhavo buddhiryasya na lipyate hatvapi sa imamllokanna hanti na nibadhyate,"[Commentary:]18) Knowing - the Substance to be known is Brahman - and the one who will know is this Atman - these three acts have been spoken about - meaning, performing Kriya and attaining the Knowledge of Kutastha Brahman - becoming the Self’s verily, meaning - the par avastha of Kriya; this is [true] work.  Cause means performing Kriya; work is performing Kriya and going to Kutastha Brahman - the One Whom that Self knows as Lord."
18,jnanam jnyeam parijnata trividha karmachodana karanam karma karteti trividhah karmasamgrahah,"[Commentary:]19) Knowledge, action, doer - three types in three gunas - how each of their qualities are - that I am telling you."
19,jnanam karma cha karta cha tridhaiva gunabhedatah prochyate gunasamkhyane yathavacchrinu tanyapi,"[Commentary:]20) One who performs Kriya and sees the One Eternal, Indestructible Kutastha Brahman in all phenomena - even in separated conditions sees as one, and sees that all of the different jivas are Brahman everywhere - this is what is called “sattvic jnana” [sattvic knowledge] - meaning, this Knowledge happens in the par avastha of Kriya."
20,sarvabhuteshu yenaikam bhavamavyamikshate avibhaktam vibhakteshu tajjnanam viddhi sattvikam,"[Commentary:]21) Seeing as separated with attachment-filled attention, yet still seeing One Brahman - that is rajasic jnana."
21,prithaktvena tu yajjnanam nanabhavan prithagvidhan vetti sarveshu bhuteshu tajjnanam viddhi rajasam,"[Commentary:]22) For no reason, puts attachment-filled attention on some act - that is tamasic."
22,yattu kritsnavadekasmim karye saktamahaitukam atattvarthavadalpam cha tattamasamudahritam,"[Commentary:]23) Being devoid of desire - with dharana, dhyan, samadhi, being devoid of the desire for results; without aggression/envy - action which like this is called “sattvic action,” - meaning, going on with the performance of Kriya."
23,niyatam sangarahitamaragadveshatah kritam aphalaprepsuna karma yattatsattvikamuchyate,"[Commentary:]24) Performing action with great effort, with the desire for its fruits and boastful pride - rajasic action."
24,yattu kamepsuna karma sahamkarena va punah kriyate bahulayasam tadrajasamudahritam,"[Commentary:]25) Like the way of being mentally tied up before falling asleep - in this level of karma, in which there is destruction - and cannot see others’ good - “anapeksha” = has no regard for others - meaning, does not act with awareness of what is all around - showing off this kind of manliness, in delusion, begins action in this way - this is called “tamas action.”"
25,anubandham kshayam himsamanapekshya cha pourusham mohadarabhyate karma yattattamasamuchyate,"[Commentary:]26) Without desire - Brahman is doing - the Stillness after Kriya - always remains Tranquil within.  “Utsaha” - with the upper - meaning, in Kutastha, enjoined all the time; if some sense thing is spontaneously seen, or if something happens or does not happen - in both of these, he is Still, abiding in the par avastha of Kriya - there is no mutation in mind - this type of doer is called “sattvic doer.”"
26,muktasangohnahamvadi dhrityutsahasamanvitah siddhyasiddhyonirvikarah karta sattvika uchyate,"[Commentary:]27) With desire, the craving for results, greed, aggression, uncleanness, in pleasure and in sorrow - one who is a doer of this sort is a “rajas doer.”"
27,ragi karmaphalaprepsurlubdho himsatmakohshuchih harshashokanvitah karta rajasah parikirtitah,"[Commentary:]28) Does not stay in the par avastha of Kriya - without staying locked, becomes stuck in any or another thing; being stuck, like a helpless doll, consciousness is hit with confusion and such - cannot perform a single act - cheating with verily everyone - always in laziness only - mind always heavy with sorrow - so if not today, I will do it tomorrow - after this, when I am old, I will think about dharma and good works - this type of condition is of a “tamas doer.”"
28,ayuktah prakritah stabdhah shatho naishkritikohlasah vishadi dirghasutri cha karta tamasa uchyate,"[Commentary:]29) “Buddhi” [intellect/intelligence] and “dhriti” [resolve, or holding fast, as in “dharana”] are of three kinds - I will speak of their qualities separately."
29,buddherbhedam dhriteshchaiva gunatastrividham shrinu prochyamanamasheshena prithaktvena dhananjaya,"[Commentary:]30) One should fully stay in this act - meaning Kriya; one should not stay without doing Kriya - Kriya is what is to be done [karya] - not doing it is being useless [akarya]; if Kriya is not done, there is fear; if Kriya is done, there is no fear - if Kriya is not done, there is bondage; if Kriya is done, there is liberation - this type of buddhi - this happens from doing Kriya - meaning, if one remains in sushumna, buddhi is sattvic."
30,pravrittim cha nivrittim cha karyakarye bhayabhaye bandham moksham cha ya vetti buddhih sa partha sattviki,"[Commentary:]31) Doing this Kriya is dharma - not doing this Kriya is non-dharma [adharma]; doing Kriya is work - not doing Kriya is uselessness - one who does not know the meanings of such things in this way, buddhi which is established in this [unknowing] way is called rajasic buddhi."
31,yaya dharmadharmam cha karyam chakaryameva cha ayathavat prajanati buddhih sa partha rajasi,"[Commentary:]32) [The one for whom] not doing Kriya is dharma - attention on all things, yet Brahman, who is in all - does not put attention on Him - buddhi that is like this is called “tamasic buddhi.”"
32,adharmam dharmamiti ya manyate tamasavrita sarvarthan viparitamshcha buddhih sa tamasi,"[Commentary:]33) In the par avastha of Kriya, when dharana happens automatically, and mind and prana-vayu and the awareness of the ten organs [of perception and action] are all stopped - Still with dharana, dhyan, samadhi - then, one will remain in OneSelf; there will be no attachment-filled attention in other directions then - this type of dharana - it is this that is called “sattvic dharana.”"
33,dhritya yaya dharayate manahpranendriyakriyah yogenavyabhicharinya dhritih sa partha sattviki,"[Commentary:]34) [When] dharma = work with the desire for its fruits, and all other actions done with the desire for their fruits - dharana that is like this is “rajasic dharana.”"
34,yaya tu dharmakamarthan dhritya dhavayatehrjuna prasangena phalakankhi dhritih sah partha rajasi,"[Commentary:]35) Dream, fear, despondency, arrogance - dharana in work that is like this is tamasic."
35,yaya svapnam bhayam shokam vishadam madameva cha na vimushnati durmedha dhritih sa partha tamasi,"[Commentary:]36) Happiness of three kinds - via practice; the place that one reaches upon doing Kriya - such beautiful happiness is there - upon abiding in the par avastha of Kriya and witnessing the Supreme Sky - of distance - meaning sorrow - looking at other things with attachment - “duhkha” [sorrow] is what but of distance - “kha” = emptiness; looking at the empty colorful and shiny forms of the five elements, being stuck to those very things, people become encumbered; this is what is called “duhkha” - this is happening all the time to everyone, but this duhkha is ended in the par avastha of Kriya."
36,sukham tvidanim trividham shrinu me bharatarshabha abhyasadramate yatra duhkhantam cha nigacchati,"[Commentary:]37) In the beginning, the way that there is inflammatory pain from poison, in that way, the advice of those of Truth, or listening about Kriya - one becomes enveloped by ego and almost never does the mind give in to caring about that - but if one once lowers one’s head, has faith in Guru’s teaching, and becomes engaged in the practice of Kriya - “nectar, nectar” - everyone has certainly heard, but no one has seen it, nor has anyone experienced it - after Kriya, upon having received initiation with the teaching of Guru, that can be experienced - upon receiving that infinite happiness, one attains the Immortal - which, by abiding in sushumna - that Kriya happens - for this reason, that is called “sattvic happiness.”  One simply stills mind in Atman via Kriya - by the Grace of Atman Itself, one attains Supreme Bliss."
37,yattadagre vishamiva parinamehmritopamam tatsukham sattvikam proktamatmabuddhiprasadajam,"[Commentary:]38) Sense objects and the senses - meaning, upon looking with attachment with the desire for results, it first seems that “I am saved; such an excellent thing I got” - saying such, one goes on with sexual intercourse; but fixing the mind thus that: “I am immortal; I won’t die; will I die?” “One who tells me ‘die’, let him die” - one who does not ever think about death, he will die, and the one who says “die”, how can it be that he will stay alive?  Meaning, both fall in the jaws of death; nevertheless, like children, they think of false talk as true; thus the talk itself is evil, which they cannot stop speaking - but in the par avastha of Kriya, one automatically becomes mute [silent].  In the end, after that sexual intercourse, putting the penis in some rotten vagina, a flaming irritation like poison comes about - this is what is known as “rajasic happiness.”"
38,vishayendriyasamyogadyattadagrehmritopamam pariname vishamiva tat sukham rajasam smritam,"[Commentary:]39) Right at the beginning, the mind is tied up; for the sake of little momentary pleasure, one is deluded - it is felt first in that sleep - like when someone interrupts sleep, then it is felt.  It is the same in laziness.  And in passion also, or being infatuated with some sense object and giving attention, filled with attachment - this is called “tamasic happiness” - meaning, cannot see anything at all."
39,yadagre chanubandhe cha sukham mohanamatmanah nidralasyapramadottham tattamasamudahritam,"[Commentary:]40) The gods - meaning Kriyanvita persons - in the heaven in the earth - in this Prakriti are three gunas - ida, pingala, sushumna - sattva, rajah, tamah [not respectively in this case] - who is liberated from these - there is no one like him."
40,na tadasti prithivyam va divi deveshu va punah tattvam prakritijairmuktam yadebhih syattribhirgunaih,"[Commentary:]41) Brahmin, kshatriya, vaishya, shudra - whatever action everyone performs - for each of them the appropriate classes have been designated - “svabhava” - meaning, being locked in Atman - the par avastha of Kriya - whoever has whatever kinds of qualities by this - he is put into that kind of division [grouping]."
41,brahmanakshatriyavisham shudranam cha parantapa karmani pravibhaktani svabhavaprabhavairgunaih,"[Commentary:]42) Now I am speaking about everyone’s karma [type of work] specifically - “shama” = the par avastha of Kriya; seeing everyone as the same, and vanquishing the six senses; abiding in the Kutastha Sky - “shoucha” = residing in Brahman; from all sense objects - meaning, refraining from action with the desire for its fruits - speaking only what is in mind - “jnana” = seeing in Yonimudra - upon seeing, remaining in the par avastha of Kriya, where there is no day or night or anything - seeing everything there - [that there is] something, or that there is God, Brahman - one who knows in this way is the one who verily does the work of a brahmin - oneself abiding in Stillness in the Self in the par avastha of Kriya."
42,shamo damastapah shoucham kshantirarjavameva cha jnanam vijnanamastikyam brahmakarma svabhavajam,"[Commentary:]43) “Shouryam” = performing Kriya = by that, showing one’s abilities; “dhriti” = spontaneously abiding in the par avastha of Kriya; “dakhyam” - meaning, always performing Kriya, which is acquired through the teaching of Guru - does not move from doing Kriya - meaning, does Kriya day and night; gives Kriya; always establishes in Stillness in the Heart after Kriya - this is the work of kshatriyas, abiding in this par avastha of Kriya."
43,shouryam tejodhritirtakshyam yuddhe chapyapalayanam danamishvarabhavashcha kshatram karma svabhavajam,"[Commentary:]44) Only performs Kriya, the “go” sound refers to the tongue; keeps that raised to the top and performs Kriya with the desire for results; those who act while staying in the par avastha of Kriya in this way - they are “vaishya.”  And those who simply abide in Atman for the sake of having this very worthy Kriya and perform action in this way are of the “shudras” - abiding in that Atman Itself, they abide Tranquilly."
44,krishigorakshyavanijyam vaishyakarma svabhavajam paricharyatmakam karma shudrasyapi svabhavajam,"[Commentary:]45) One who always keeps attention on one’s own work of the Self, gradually, that person attains perfection in all things - meaning, upon abiding in the par avastha of Kriya, there is no desire for anything; staying continuously with one’s own work, and going on fully with the practice of Kriya, desire is stopped.  I am speaking of that; listen:-46) The place from where all are becoming - meaning, that self-attention being in other directions filled with attachment - which, when not there, one is becoming Mahadeva - [then] never is there a possibility of attention falling on any thing, because there is no jiva-pleasure in a corpse; for this reason, there is nothing in him - therefore, the jivatma is itself the cause of all substances; thus, “svakarma” - meaning one’s own work - Kriya without the desire for its fruits - doing this affectionately, with devotion and in all ways is called “archana”* - in this way, having received Kriya via the teaching of Guru, human beings attain the fulfillment of all things - meaning, the thing for which there is desire, once one gets that thing, desire no longer remains - in that way, when oneself resides in the Self Itself in the par avastha of Kriya, then, the way that [all] desires are stopped if one gets all things, that is the state that happens.  Like, the satisfaction that comes from eating a mango; when someone gets that same satisfaction without eating [the mango], then why would he look at the mango - meaning, why would he try to get a mango.  All of that is experienced in the par avastha of Kriya, which is transmitted via the teaching of Guru.[*Translator’s note:  Sanskrit transliterations may sometimes write “archana” as “arcana”, but then we would have to use other phonetic symbols, which we are not using.  To avoid any misunderstanding, also please note that here we are not using the western word “arcana.”  The “archana” we are using is a Sanskrit word.]"
46,sve sve karmanyabhiratah samsiddhim labhate narah svakarmaniratah siddhim yatha vindati tacchrinu - 45- yatah pravrittirbhutanam yena sarvamidam tatam svakarmana tamabhyacchya siddhim vindati manavah,"[Commentary:]47) If from time to time mind goes in other directions while performing Kriya, that is also all right, but keeping attention completely in another thing (another besides Atman)* with expectations and the desire for results - in that there is the fear of death, because if there is no death, who will enjoy that fruit.  If, upon continuously doing Kriya, the Immortal Substance - meaning the Stillness after Kriya in all parts of the day and night - does not happen and death itself comes, that is also good - but putting attention in other directions besides Atman with the desire for results - there will certainly be death, but in order to fulfill the enjoyment of the results, the fear of birth and death remains - meaning, just doing Kriya for a short while causes desire to stop - gradually, that is being experienced by everyone - meaning, Kriyanvita persons - it is unnecessary to write - abiding in the par avastha of Kriya with dhyan, dharana, samadhi - attachment-filled attention does not go in other directions; thus, no sin is incurred either.[*Translator’s note:  The parentheses and the text within them are in the original.]"
47,shreyan svadharmo vigunah paradharmat svanushthitat svabhavaniyatam karma kurvannapnoti kilvisham,"[Commentary:]48) The work that has happened along with birth - meaning Kriya (which is only acquired via the teaching of Guru)* - that is what is duty, in every way (mercy, mercy)** - trying to do that in the beginning, does not quite happen completely - meaning, one cannot do Kriya very well, but one should not discard it just because of that - like when starting a fire, first smoke gets in the eyes and causes a little discomfort - afterwards, one cooks, eats and is filled with satisfaction - in that way, in the beginning, there is a little discomfort in keeping mind in Atman, but after eating and becoming filled with satisfaction, that discomfort from smoke is no longer felt; forgetting that, one instead receives satisfaction in abundance.[* and **Translator’s note:  The parentheses and the text within them are in the original.]"
48,sahajam karma kaunteya sadoshamapi na tyajet sarvarambha hi doshena dhumenagnirivavritah,"[Commentary:]49) Do not put attachment-filled attention on any sense objects in the present condition and in the par avastha of Kriya - always abiding in Atman, via Atman, fight with Kriya and be victorious - meaning, when desires for all sense-things stop upon abiding in the par avastha of Kriya, then no karma with the desire for their fruits remain - when there is no desire for any sense-object, which used to be acquired through desire - thus, all things are acquired, which is called “siddhi” - so that is Supreme - meaning, when - beyond all - Brahman Is - the way that He is the Non-doer, yet the Doer - in the same way, without desire, all desires are fulfilled (without having desire)* - this is what is called “siddhi” and “sannyasi” - meaning, whatsoever is desired in the present condition - one does not do with non-dutiful work - this type of Still Intelligence happens in the par avastha of Kriya.[*Translator’s note:  The parentheses and the text within them are in the original.]"
49,asaktabuddhih sarvatra jutatma vigataspriha naishkarmyasiddhim paramam sannyasenadhigacchati,"[Commentary:]50) In this way, having attained Brahman, one receives all siddhis - in the way that it is done, understand that - absolutely extinguished in Stillness, and Brahman Darshan - the par avastha of Kriya upon abiding in Brahman - that is what is “para” - meaning, beyond which, there is nothing at all except Brahman."
50,siddhim prapto yatha brahma tathapnoti nibodha me samasenaiva kaunteya nishtha jnanasya ya para,"[Commentary:]51) Keeping mind Still in the par avastha of Kriya, abiding as locked in Brahman, and abiding automatically in Stillness in Atman is called - with dharana, dhyan and samadhi, disregarding words and such of desire for the fruits of actions - desire and aggression, which automatically do not remain in the par avastha of Kriya."
51,buddhya vishuddhaya yukto dhrityatmanam niyamya cha shabdadinvishayamstyaktva ragadveshou vyudasya cha,"[Commentary:]52) Always resides by oneself in the Self, eats little, keeps control of speech, thinks of oneself as small in a body, does not go about with arrogance, without taking mind in other directions and thinking oneself as small, abides in the Self - meaning, performs Kriya - which is transmitted via the teaching of Guru - does 1,728 pranayams every day, and does 21,736 pranayams from time to time - meaning, does pranayam day and night and always - meaning, always resides in this only - which happens automatically from continuously doing Kriya - when abiding in the Self at all times, having this kind of practice, then no desire in directions other than Brahman happens in any way - this is what is known as “vairagya” [non-attachment]; one who has this is the one who is “vairagi.”"
52,viviktasevi lagvashi yatavakkayamanasah dhyanayogaparo nityam vairagyam samupashritah,"[Commentary:]53) Ego, might, arrogance - meaning, going about with one’s chest puffed up, desire, anger, someone else’s house - meaning, not putting mind on other things except Brahman - from all of these - upon abiding in the par avastha of Kriya fully, one is freed from all of these aforementioned sense-matters; in that par avastha of Kriya, neither is there “me”, nor is there “mine” - which all Kriyanvita persons are experiencing; this is called Peace - meaning the end of Kriya itself - continuing to do this for a long time, one becomes Brahman Himself."
53,ahamkaram balam darpam kamam krodham parigraham vimuchya nirmamah shanto brahmabhuyaya kalpate,"[Commentary:]54) Becoming Brahman, just by its happening, oneself is in delight, because he does not at all put attachment-filled attention on other things besides Brahman; when he does not put attachment-filled attention on any thing, then there is no regretful grief about that other thing; it is when attachment-filled attention is given that one desires to acquire that [thing] - when there is not even attention on any other thing besides Brahman, then consequently, there is no craving for that either - sees Brahman in verily all phenomena, mobile and immobile; then all experiences happen spontaneously by themselves - having faith in the teaching of Guru, he resides as Himself in the Self and always performs Kriya, and thinks of that itself as fortune gained, the attainment which is the Wisdom above all."
54,brahmabhutah prasannatma na shochati na kankhati samah sarveshu bhuteshu madbhaktim labhate param,"[Commentary:]55) In this way, with devotion, one can reverently know what this “I” is; all that there is, is Me, and whoever there is, is Me - “tattvatah” - meaning, having done Kriya and having become Brahman, after that, knowing who I Am, it is in Me, verily, that Divine Union happens then."
55,bhaktya mamabhijanati yavanyashchasmi tattvatah tato mam tattvato jnatva vishate tadanantaram,"[Commentary:]56) He does all work and resides in My shelter - meaning, performs Kriya, residing in Atman - upon continuously doing this Kriya of the Self, attaining Bliss, and residing always and constantly in the par avastha of Kriya, he becomes the Indestructible One in Brahman."
56,sarvakarmanyapi sada kurvano madvyapashrayah matprasadadavapnoti shashvatam padamavyayam,"[Commentary:]57) Because Brahman Himself is doing all work via consciousness, knowing this ends all karma; because another person is performing whatever action; if you are not doing that karma [action], then for you that karma is eradicated - “matparah” = remain always in Atman and perform Kriya; through intelligence - meaning, via Stilled consciousness and abiding in the par avastha of Kriya, you will automatically do all work, which is the peculiar condition of sages, which automatically happens from the continuous practice of Kriya."
57,chetasa sarkarmani mayi sannasya matparah buddhiyogamupashritya macchittah satatam bhava,"[Commentary:]58) Keeping consciousness always on Me - meaning performing Kriya, which is transmitted via the teaching of Guru - among all enemies, the ones that fall into the fort - the mind will be freed from them.  If [one says], “I am a powerful person,” with ego, and “if you don’t listen to me, then you’ll die” - meaning, “you will be thrown out of your situation” - [then] one will have to take birth again - listen to My words; listen to the mad drunkard’s words."
58,macchittah sarvadurgani matprasadattarishyasi atha chettvamahamkaranna shroshyasi vinankhasi,"[Commentary:]59) If you arrogantly do not do Kriya, saying, “I am a great person.  What need have I to do Kriya?” - yet, with the desire for fruits of actions, “I am going to heaven; I am going to Kailaspur” - “let this happen to me, let that happen to me, all this is a lie”; but conducting oneself in that kind of falsehood, one will again have to take birth; and consequently, later, one will inevitably have to do this very Kriya, when one will not see anything but sorrow and no permanence of pleasure in anything."
59,yadamkaramashritya na yotsya iti manyase mithyaiva vavasayante prakritistvam niyokshyati,"[Commentary:]60) One’s own self is suffocatingly bound in one’s own karma - like: if you abide in Brahman, then you will go to Brahman; if you put attachment-filled attention in another direction, then you will go there - perform Kriya well; you will receive excellent fruits; if you are deluded and have put attachment-filled attention in other things and do not abide in Atman - then, after going through birth, death and suffering, becoming powerless and coming to peace, you will have no choice but to do this Kriya - because there is no way other than this."
60,svabhavajena kaunteya nibaddhah svena karmana kartrim necchasiyanmohat karishyashyasyavashohpi tat,"[Commentary:]61) The Lord is established in the heart - in the par avastha of Kriya - in absolutely all phenomena, in the mobile and immobile - in the Form of Brahman; to all phenomena via the machines of ida, pingala and sushumna - meaning those that have happened and those that will happen, covered in that - “arudha” - meaning, [mounted] on other things which are false, thinking them to be true - traveling - “maya” - meaning, attachment-filled attention is being given."
61,ishvarah sarvabhutanam hriddeshehrjuna tishthati bhramayansarvabhutani yantrarudhani mayaya,"[Commentary:]62) That One Who has taken up the three gunas - it is He Who is the Self - remember Him verily.  Having received Kriya via the teaching of Guru, seeing Brahman in all things in the par avastha of Kriya - continuously practicing Kriya in this way, residing in the par avastha of Kriya and attaining Bliss - after which there is no more - you will attain this Peace-Substance quickly, and through Intelligence, you will be able to know with absolute certainty that other than this, there is no other path to Peace - this understanding will be there always."
62,tameva  sharanam gaccha sarvabhavena bharata tatprasadat paramshantim sthanamprapsyasi shashvatam,[Commentary:]63) Now I have spoken to you all Wisdom - now go on and do whatever you wish - that which is the most hidden of secrets - what I have told you is extremely hidden.
63,iti te jnanamakhyatam guhyadguhyataram maya vimrishyaitadasheshena yathecchasi tatha kuru,[Commentary:]64) Again I am speaking of that which is extremely hidden - because I fully know that you are the Lord’s friend; I am speaking for your beneficence.
64,sarvaguhyatamam bhuyah shrinu me paramam vachah ishtohsi me dridhamiti tato vakshyami te hitam,"[Commentary:]65) Keep your mind in Me verily - meaning, perform Kriya; worship Me verily - meaning, perform Kriya; “namaskuru” - meaning, do Kriya of Omkar - which is transmitted via the teaching of Guru - truly, I tell you that you will be Mine - I am promising you - because you are dear to Me."
65,manmana bhava madbhakto madyaji mam namaskuru mamevaishyasi satyam te pratijane priyohsi me,"[Commentary:]66) Do not look in any direction with attachment; only keep mind in Atman, and having received Kriya via the teaching of Guru, go on doing it - go on with remembrance - OM - with the continuous practice of this Kriya, I will liberate you from looking in other directions with attachment-filled attention - meaning, in the par avastha of Kriya, attention does not go in other directions at all; for this reason, do not worry about anything."
66,sarvadharman parityajya mamekam sharanam vraja aham tvam sarvapapebhyo mokshayishyami ma shuchah,[Commentary:]67) Do not speak of Kriya to anyone who hates Me or speaks badly of Me.
67,idante natapaskaya nabhaktaya kadachana na chashushrushave vachyam na cha mam yohbhyasuyati,[Commentary:]68) One who receives this Kriya - he will become Mine verily.
68,ya idam paramam guhyam madbhakteshvabhidhasyati bhaktim mayi param kritva mamevaishyatyasamshayah,"[Commentary:]69) If one performs this Kriya, he will be very dear to Me.  There is no one in the world who is better than that person."
69,na cha tasmanmashyeshu kashchinme priyakrittamah bhavita na cha me sasmadanyah priyataro bhuvi,[Commentary:]70) Good will happen to one who listens to these words.
70,adhyeshyate cha ya imam dharmyam samvadamavayoh jnanayajnena tenahamishtah syamiti me matih,"[Commentary:]71) If he listens with reverence, he will also be liberated."
71,shraddhavananasuyashcha shrinuyadapi yo narah sohpimuktahshubhamllokanprapnuyatpunyakarmanyam,[Commentary:]72) All ignorance is destroyed if one listens to this.Arjuna said:
72,kacchidedatshrutam partha tvayaikagrena chetasa kacchidajnanasammohah pranashtaste dhananjaya,"[Commentary:]73) It is being said via the energy of the body - my delusion and doubts have all gone - whatever You say, I will do.Sanjaya said:"
73,nashto mohah smritirlabdha tvatprasadanmayachyuta sthitohsmi gatasandehah karishye vachanam tava,"[Commentary:]74) Via divine perception - this message [or, dialogue] here - it is wondrous."
74,ityaham vasudevasya parthasya cha mahatmanah smvadamimamashroushamadbhutam romaharshanam,"[Commentary:]75) By the grace of Vyasa, [the wisdom of] this yoga was heard."
75,vyasaprasadacchrutavanetadguyamaham param yogam yogeshvaratkrishnatsakshatkathayatah svayam,[Commentary:]76) My heart is very contented upon hearing these words.
76,rajan samsmritya samsmritya samvadamimamadbhutam keshavarjunayaoh punyam hrishyami cha muhurmuhuh,"[Commentary:]77) Again and again, I am so very happy."
77,taccha samsmritya samsmritya rupamatyadbhutam hareh vismayo me mahan rajan hrishyami cha punah punah,"[Commentary:]78) The side in which Krishna is - that side is victorious [or, wherever there is Krishna, there is victory] - meaning, victory is Kutastha’s Itself.ity srimadbhagavadgitasupanishatsu brahmavidyayam yogashastre srikrishnarjunasamvade mokshayogonama ashthadashohdhyayahThus ends the Eighteenth Chapter.Faith and reliance in the Feet of Sri Guru."
