Verse Number,Translation,Commentary
11,ashochyananvashochastvam prajnavadamshcha bhashase gatasunagatasumshcha nanushochanti panditah,"[Commentary:]12) Neither is there death for you, nor is there death for me - meaning that Kutastha is as He is, because He is Eternal. Matter and Nature are also Him, and He is that Brahman Being; He also has no birth or death. Therefore, all these royalty (senses and such)* that you see - they are also Brahman and without birth and death. What you are seeing is not what it is - this is only bubbles forming in water. Water is like Brahman; the bubble also exists from that water as a mutation caused by a quality called air. In this way know all beings - nothing is happening - beyond this all things are Brahman.[*Translator’s note: The parentheses and the translated text within them are in the original.]"
12,na tvevaham jatu nasam na tvam neme janadhipah na chaiva na bhavishyamah sarve vayamatahparam,"[Commentary:]13) Who is the Dweller in the body but Kutastha - The One Who is Kutastha Brahman, as He is, so He is. The body is going through childhood, adulthood and old age - similar to a water-bubble’s beginning condition, middle condition, and destruction at the final condition. Those who are abiding with still minds in that water-illustrated Brahman - they do not become deluded by such mutations."
13,dehinohsmin yatha dehe kaumaram yauvanam jara tatha dehantarapraptidhirastatra na muhyati,"[Commentary:]14) The quintelemental body, meaning, earth, water, fire, air, ether, Muladhar, Svadhishthan, Manipur, Anahata, Vishuddhakhya, the “A” , the “U”, the “M”, Nada, Bindu. Touch, meaning experiencing these by vayu - and being in existence and dissolution, beyond these is Kutastha Brahman - where the Ajna Chakra is - when vayu is stilled - boundless - sound stopped - Bindu, Nada, quarter-moon-zodiac-time-all aspects of things, future and the Beyond is known - it is He about Whom the scriptures such as the Vedas speak. There is a kind of Bliss there [Supreme Bliss] which is called Paramananda, immersing in which there is profound intoxication - thus, when one does not contact the limited [sense-world etc.], one is without pleasure and pain; when one contacts the limited, one is with pleasure and pain. It is by this contact one experiences; observe this (titikshu = look)."
14,matrasparshastu kaunteya shitoshnasukhaduhkhadah agamapayinohnityastam stitikshasva bharata,"[Commentary:]15) That is the “rishi”, meaning the Supreme Person Brahman - He is beyond all - the vayu is still there - one who has attained the Still Vayu, meaning dead body - no pain happens to that. In that way, no pain happens to that Kutastha at all - and a dead body has no pleasure or sorrow, is lying still - in that way, Kutastha also has no pleasure or pain - Still!!! but Immortal!!! Those who have attained this are called “gods.” Thus, gods are immortal. One whose third eye, meaning Divine Eye, has merged in Kutastha - they are the ones who are “jivanmukta” while in this body, and therefore immortal."
15,yam hi na vyathayantyete purusham purusharshabha samaduhkhasukham dhiram sohmritatvaya kalpate,"[Commentary:]16) If, in the body - which is the manifestation of Omkar, one does not perform pulling and dropping, he is not able to know Stillness. One who does not have this condition - he does not stay in his own body; thus whether at home or abroad, there is trouble (you can plainly see it). The state beyond these two - then there are no words - going beyond matter one becomes the witness of the Supreme Substance, meaning - one becomes a knower of Brahman."
16,nasato vidyate bhavo nabhavo vidyate satah ubhayorapi drishtohntastvanayostatvadarshibhih,"[Commentary:]17) Tat is but Kutastha - He is Indestructible - no one is capable of destroying Him, because He is Omnipresent - who will destroy whom - because of Whom this entire existence is."
17,avinashi tu tadviddhi yena sarvamidam tatam vinashamavyasyasya na kashchit kartumarhati,"[Commentary:]18) The body has its demise just as a bubble also has its demise. As long as there is air, there is existence - then death - but the water-exemplifying Brahman has no death because He is Indestructible - and there is no comparison to Him either. If there were some substance other than Brahman, then there could be comparison, isn’t it? Thus, that which is your work to perform, go on doing it."
18,antavantaime deha nityasyoktah sharirinah anashinohprameyasya tasmad yudhyasva bharata,"[Commentary:]19) The One that you are perceiving as the slayer - He is Kutastha Brahman! The One you are imagining to be slain - He is also Brahman!! You do not know these two things - no one slaying at all, no one is being slain at all."
19,ya enam vetti hantaram yashchainam manyate hatam ubhou tou na vijanito nayam hanti na hanyate,"[Commentary:]20) He has no birth because he is Eternal, all-pervading - where is there any place to be born - where is death for Eternal Substance? All is Brahman!! Then how can one thing be changed [mutated or affected] by another thing? This can never happen - that which you are seeing as happening - that is just a image-form which is false - that will also dissolve into Brahman. Being and not being for that are the same; when being and not being are the same, and even has not been, then how can it be? Nothing has happened from anything. Because the Unborn/Self-Born Brahman is the Eternal Primordial Person - He Himself does not slay - because by what shall He slay? That by which He will slay - in that is also Brahman - the One He will slay - He is also Brahman - therefore, how will Brahman kill Brahman? This body - its destruction is continuously happening, but how can the destroyable destroy the Indestructible?"
20,na jayate mriyate va kadachin- nayam bhutva bhavita va na bhuyah ajo nityah shvashvatohyam purano na hanyate hanyamane sharire,"[Commentary:]21) Veda, meaning that by which one can know; they have said - the Indestructible, meaning that the one who has known, has known the Indestructible and has gone to the Eternal Substance - Brahman. He has no birth, nor death - how can one kill Him - by saying “I will kill”?"
21,vedavinashinam nityam ya enamajamavyayam katham sa purushah partha kam ghatayati hanti kam,[Commentary:]22) The Supreme Person discards old clothes in the form of this body and puts on new clothes in the form of [another] body.
22,vasamsi jirnani yatha vihaya navani grihnati narohparani tatha sharirani vihaya jirna- nyanyani samghati navani dehi,"[Commentary:]23) There is no possibility of cutting Kutastha with a weapon, because the Void that emerges from That - nothing is cut by flailing a sword at that - in that way, vayu becomes still in the body - Kutastha - how can He be cut? That Kutastha cannot be burned by fire, cannot be wetted and soiled by water, cannot be dried by air; this is clear - the realization of this can come about by taking initiation in Kriya! (It can be known by the Grace of Guru.)"
23,nainam chidanti shastrani nainam dahati pavakah na chainam kledayantyapo na shoshayati marutah,"[Commentary:]24) Thus It is impenetrable, inflammable, cannot be wetted and soiled, cannot be dried, Eternal, lying within all, meaning - is residing in the form of the essence - unmoving - the Universal Form."
24,acchedyohyamadahyohyamakledyohashoshya eva cha nityah sarvagatah sthanurachalohyam sanatanah,"[Commentary:]25) One cannot speak about Him by the mouth - can only realize by oneself. There is no way of thinking [about That] because if that happens, then there is two - there is no possibility of change [mutation] because He is in all - knowing this, there is no need to grieve over anything."
25,avyaktohyamachintohyamavikaryohyamuchyate tasmadevam viditvainam nanushochitumarhasi,[Commentary:]26) If you know that the Eternal is born and the Eternal is dying - then there is no need for any grieving.
26,atha chainam nityajatam nityam va manyase mritam tathapi tvam mahavaho nainam shochitumarhasi,"[Commentary:]27) When there is birth, there is death; when there is death, there is birth; thus there is no need for grieving.avyaktadini bhutani vyaktamadhyani bharata avyaktanidhananyeva tatra ka paridevana - 28- [Commentary:]28) The Inexpressible - in the body is the Expressible Ishvar - but when the body is destroyed, Ishvar is not destroyed - thus, what is this worry."
27,jatasya hi dhruvo mrityurdhruvam janma mritasya cha tasmadapariharyehrthe na tvam shochitumarhasi,"[Commentary:]29) Some see this as wondrous; [they] speak, listen - even after listening, some do not have a desire to know."
29,ashcharyavat pashyati kashchidena- mashcharyavadvadati tathaiva chanyah ashcharyavachchainamanyah shrinoti shrutvapyenam veda na chaiva kashchit,"[Commentary:]30) Kutastha - the dweller in the body, Eternal, Immortal - and in this body is the Entire (Universe); knowing this, there is no need at all to grieve about anything."
30,dehi nityamavadhyohyam dehe sarvasya bharata tasmat sarvani bhutani na tvam shochitumarhasi,"[Commentary:]31) One’s own dharma, meaning Kriya - pay steady attention to that, because there is no dharma other than Kriya for a kshatriya."
31,svadharmapi chavekshya na vikampitumarhasi dharmyaddhi yuddhacchreyohnyat kshatriyasya na vidyate,[Commentary:]32) One acquires Supreme Bliss by performing Kriya - those in the field that are happy - they get (attain)* Kriya like this.[*Translator’s note: The parentheses and the translated text within them are in the original.]
32,yadricchaya chopapannam svargadvaramapavritam sukhinah kshatriyah partha labhante yuddhamidrisham,"[Commentary:]33) If you do not do Kriya like this, then sin will be incurred because of not being in Kutastha Brahman."
33,atha chettvamimam dharmyam samgramam na karishyasi tatah svadharmam kirtincha hitva papamavapsyasi,"[Commentary:]34) Everyone will say that one is not in Brahman, then it is better to die than that - “akirti” meaning - not being in Kutastha."
34,akirtinchapi bhutani kathayashyanti tehvyayam sambhavitasya chakirtirmaranadatirichyate,"[Commentary:]35) If you do not do Kriya, then people will say whatever is on their minds; thus you will be demeaned."
35,bhayadranaduparatam mamsyante tvam maharathah yeshancha tvam bahumato bhutva yasyasi laghavam,"[Commentary:]36) They will speak lies of you and degradingly of you - those who are not beneficent, meaning the senses and such - meaning that they will say, “How was your trip? See, we brought you back, huh?” They will deride your capability - there is no sorrow other than this."
36,avachyavadamshcha vahun vadishyanti tavahitah nindantastava samarthyam tato duhkataram nu kim,"[Commentary:]37) Be assured and do Kriya; if perfection is attained, then that is good; if perfection is not attained [now], then there will be happiness later."
37,hato va prapsyasi svargam jitva va bhokshyase mahim tasmaduttishtha kaunteya yuddhaya kritanishchayah,"[Commentary:]38) Pleasure, pain, gain and loss - keep them the same and perform Kriya; then you will reside in Brahman."
38,sukheduhkhe same kritva labhalabhou jayajayou tato yuddhaya yujyasva naivam papamavapsyasi,"[Commentary:]39) Being still and stuck in Brahman, you will be free of the binding grip of results-craving oriented karma."
39,esha tehbhihita samkhye buddhiryoge tvimam shrinu buddhya yukto yaya partha karmabandham prahasyasi,"[Commentary:]40) Even if you do a little Kriya, you will be delivered from great fear."
40,nehabhikramanashohsti pratyavayo na vidyate svalpamapyasya dharmasya trayate mahato bhayat,[Commentary:]41) You will be bound if you act while craving results.
41,vyavasayatmika buddhirekeha kurunandana bahushakha hyanantashcha buddhayohvyavasayinam,"[Commentary:]42) The scholars - for adulation, speak pleasing words - leaving aside the real work which is mind in Brahman without desire for results - [leaving that] and arguing about the words in the Vedas - there is nothing of the real subject."
42,yamimam pushpitam vacham pravadantyavipashcitah vedavadaratah partha nanyadastiti vadinah,[Commentary:]43) Working only from desire and craving for results - to become lost in the luxury of sense-enjoyments (for pleasure).*[*Translator’s note: The parentheses and the translated text within them is in the original.]
43,kamatmanah svargapara janmakarmaphalapradam kriyavisheshabahulam bhogaishvaryagatim prati,"[Commentary:]44) Those for whom, because of desire for opulent sense-enjoyments, there is no conscious abiding in Brahman - the one who is engaged in this kind of endeavor - how can his self abide in Atman and perform pranayam twenty thousand seven hundred thirty six times? This does not come to their minds at all."
44,bhogaishvarjyaprasaktanam tayapahritachetasam vyavasayatmika buddhih samadhou na vidhiyate,"[Commentary:]45) When Ida, Pingala and Sushumna are active, engagement in things and Vedas and all such happens. Being beyond the three gunas, meaning being still, these do not remain; therefore the state which is beyond the three gunas - attain that state - meaning the paravastha of Kriya."
45,traigunyavishaya veda nistraigunyo bhavarjuna nirdvandvo nityasatvastho niryogakshema atmavan,[Commentary:]46) Brahman is in all.
46,yavanartha udapane sarvatah samplutodake tavan sarveshu vedeshu brahmanasya vijanatah,"[Commentary:]47) Do all work, but do not desire the fruits."
47,karmanyavadhikaraste ma phaleshu kadachana ma karmaphalaheturbhurmate sangohstvakarmani,[Commentary:]48) Remain in the paravastha of Kriya and do all work; know the perfected and the imperfect as the same; this is what is called yoga.
48,yogastha kuru karmani sangam tyaktva dhananjaya siddhasiddhou samou bhutva samatvam yoga ucchyate,"[Commentary:]49) Keeping intellect stilled - whatever has to happen, let it happen - those who are miserly - they crave the fruits."
49,durena hyvaram karma buddhiyogaddhananjaya buddhou sharanamanviccha kripanah phalahetavah,"[Commentary:]50) Reside in the paravastha of Kriya and let go of the desires of good and bad work. For that, remain in the paravastha of Kriya and do all work, because the work of yoga is of extremely fine skill, meaning keeping the eye in the head, keeping breath still in the breast and doing all work."
50,buddhiyukto jahatiha ubhe sukritadushkrite tasmat yogaya yujyasva yogah karmasu kaushalam,[Commentary:]51) One attains Brahman-Substance by doing work without desire for the fruits.
51,karmajam buddhiyukta hi phalam tyaktva manishinah janmabandhavinirmuktah padam gacchantyanamayam,"[Commentary:]52) When you will have gone out of delusion, then there will be no pain in hearing good and bad words."
52,yada te mohakalilam buddhirvatitarishyati tada gantasi nirvedam shrotavyasya shrutasya cha,"[Commentary:]53) Remaining always and constantly in the Omkar Sound, one is stilled and attains yoga - therefore, just listen to the Omkar Sound.Arjuna said:"
53,shrutivipratipanna te yada sthasyati nishchala samadhavachala buddhistada yogamavapsyasi,"[Commentary:]54) The fire of the body is saying:  sthitaprajna,* samadhi, sthidadhi, what are all of these?Sri Bhagavan said:"
54,sthitaprajnasya ka bhasha samadhisthasya keshava sthitadhih kim prabhasheta kimasita brajet kim,"[Commentary:]55) It is being experienced via Kutastha:  All desires in the mind, all wrongs - renouncing these and thereafter being still through doing Kriya is called “sthitaprajna.”"
55,prajahati yada kaman sarvan partha manogatan atmanyevatmana tushtah sthitaprajnastadochyate,"[Commentary:]56) Residing in the par avastha of Kriya - mind is not anxious about sorrow, also does not have a desire for pleasure - desires are not - fear and anger are not - this is called “sthidadhi.”"
56,duhkheshvanudvignamanah sukhesu vigatasprihah vitaragabhayakrodhah sthitadhirmuniruchyate,"[Commentary:]57) Knowing good and bad as the same - his prajna* is settled.**[*Translator’s note:  “Prajna” is the conglomeration of mind, consciousness, intellect, discrimination and wisdom. ”Sthitaprajna” is the merged and still “prajna.”  Because there is no adequate parallel in English, this definition is necessary.** The word “settled” in this case refers to the merged and still condition of “prajna.”]"
57,yah sarvatranabhisnahastattat prapya shubhashubham nabhinandati na dveshti tasya prajna pratishthita,[Commentary:]58) One who does not look even while looking - his prajna is settled.
58,yada samharate chayam kurmohnganiva sarvashah indriyanindriyarthebhyastasya prajna pratishthita,[Commentary:]59) Working without craving results - eating without tasting - seeing ParaBrahman and being still.
59,vishaya vinivartante niraharasya dehinah rasavarjam rasohpyasya param drishtva nivartate,"[Commentary:]60) Even if one performs strict discipline and abstinence, the senses still catch even the good mind."
60,yatatohyapi kaunteya purushasya vipashchitah indriyani pramathini haranti prasabham manah,[Commentary:]61) Controlling all senses - remaining stuck in Brahman - one whose senses have been brought under one’s power in this way - his prajna is settled.
61,tani sarvani samyamya yukta asita matparah vashe hi yasyendriyani tasya prajna pratishthita,[Commentary:]62) When there is desire - when lust arises at women - the body becomes hot after that - one becomes mesmerized - one forgets who he is.
62,dhyayato vishayan pumsah sangasteshupajayate sangat samjayate kamah kamat krodhohabhijayate,[Commentary:]63) The intellect is lost - there is destruction when the intellect is not steadfast and still.
63,krodhadbhavati sammohah sammohat smritivibhramah smritibhramshadbuddhinasho buddhi nashat pranashyati,[Commentary:]64) It is by doing Kriya that the mind remains contented.
64,ragadveshashaviyuktaistu vishayanindriyaishcharan atmavashairvidheyatma prasadamadhigacchati,"[Commentary:]65) When the mind is content, all sorrow is destroyed and the intellect remains steadfast and still."
65,prasade sarvaduhkhanam hanirasyopajayate prasannachetaso hyashu buddhih parjyavatishthate,"[Commentary:]66) Without the par avastha of Kriya there is no possibility of intelligence - he is not intelligent - the one to whom the par avastha of Kriya has not happened.  He has no loving feeling; if that is not there, then there is no peace; if there is no peace, then where is happiness?"
66,nastibuddhiryuktasya nachayuktasya bhavana nachabhavayatah shantirashantasya kutah sukham,"[Commentary:]67) If the senses are moving about, then the intellect is not steady.  Then the wind-like senses blow about the water-like prajna and take it - solemnity is destroyed."
67,indriyanam hi charatam yanmanohnuvidhiyate tadasya harati prajnam vayurnavamivambhasi,"[Commentary:]68) Thus, the senses are doing their work - do not become captured by this. When there is this type of condition - the prajna is settled."
68,tasmadyasya mahabaho nigrihitani sarvashah indriyanindriyarthebhyastasya prajna pratishthita,"[Commentary:]69) Focused and remaining in the par avastha of Kriya - that state is the state of a waking dream - it is in this meditation that the yogis abide - that state is one of darkness and sleep for all of the phenomenal world, and that state which all people who are looking with attachment and perceiving as the waking state - the “munis” [sages], meaning those who have spontaneously become “mouni” [mute] - who do not have the desire to say anything - they see them [people of worldly perspective] as being in darkness, meaning asleep."
69,ya nisha sarvabhutanam tasyam jagarti samyami yasyam jagrati bhutani sa nisha pashyato muneh,"[Commentary:]70) When desire has gone - nothing is mine; I am also nothing - when there is this type of state, there is Peace."
70,apuryamanamachalapratishtham samudramapah pravishanti yadvat tadvatkama yam pravishanti sarve sa shantimapnoti na kamakami,"[Commentary:]71) This Kriya of being in Brahman - not having this, all are completely enraptured [in illusion]."
71,vihaya kaman yah sarvan pumamshcharati nisprihah nirmamo nirahamkarah sa shantimadhigacchati,"[Commentary:]72) Attaining this, remaining until the end - dissolving in Brahman, one attains the Still Brahman-Substance.ity srimadbhagavadgitasupanishatsu brahmavidyayam yogashastre srikrishnarjuna samvade samkhyayoga nama dvitiyahdhyayahThus ends the Second Chapter."
