Verse Number,Translation,Commentary
36,papamevashrayedasman hatvaitanatatayinah tasmannarha vayam hantum dhartarashtran sabandhavan svajanam hi katham hatvah sukhinah syama madhava,"[Commentary:]37) Utterly confused by greed, I am not able to see this - the sin of destroying the clan and violence against friends."
37,yadyapyete na pashyanti lobhopahatachetasah kulakshayakritam dosham mitradrohe cha patakam,[Commentary:]38) I am seeing that it is wrong to destroy family.
38,katham na jneyasmabhih papadasmannivartitum kulakshyakritam dosham prapashyadvirjanardana,"[Commentary:]39) Destroying the clan will cause the ruin of the universal virtue of family - if that happens, [things will] be overcome by unrighteousness."
39,kulakshyaye pranashyanti kuladharmah sanatanah dharme nashte kulam kritsnamadharmohbhibhavatyuta,"[Commentary:]40) The women of the clan will become involved in unrighteousness. Being involved in unrighteousness, the caste will be corrupted by half-breeds."
40,adharmabhibhavat krishna pradushyanti kulastriyah strishu dushtashu varshneya jayate varnasankarah,"[Commentary:]41) If the caste is corrupted one will go to hell - whoever has destroyed the clan will also go to hell, and the rituals of offering sanctified food and water to the forefathers will disappear from their paternal side."
41,sankaro narakayeva kulaghnanam kulasya cha patanti pitarohyesham luptapindodakakriyah,"[Commentary:]42) With the wrongfulness of corrupting caste - race, family, religion - all will go."
42,dosheiretaih kulaghnanam varnasankarakaih utsadyante jatidharmah kuladharmashcha shashvatah,"[Commentary:]43) Because of destroying the dharma of family, one will eternally live in hell."
43,utsannakuladharmanam manushyanam janardana narake niyatam vaso bhavatityanushushrum,[Commentary:]44) It is not right to commit such a great sin for the greed of the pleasures of the kingdom - the slaying of kin and friends.
44,ahobat mahat papam kartum vyavasita vayam yadrajyasukhalobhena hantum svajanamudyatah,"[Commentary:]45) Even if I am unarmed, and even if I am killed by a weapon from someone’s hand, even that I perceive as beneficent for me.Sanjaya said:"
45,yadi mamapratikaramashastram shastrapanayah dhartarashtra rane hanyustanme kshemataram bhavet,"[Commentary:]46) Feeling this way, he let himself go in grief and became completely taken over by his anxiety-ridden mind.ity srimadbhagavadgitasupanishatsu brahmavidyayam yogashastre srikrishnarjunasamvade arjunavishadayogo nama prathamohdhyayahThus ends the First Chapter."
